assignment_id,box_id,rfid_tag,box_type,order_id,delivery_zone,assignment_date,turnaround_hours,dwell_hours,dispatch_lag_minutes,sla_status,return_condition,is_returned,days_since_assigned,turnaround_bucket,year_month
BA-20250601-037-0001,BOX-00025,RFID-BOS-025,MEDIUM,ORD-20250601-037,ZONE-C,2025-06-01,15.69,13.42,44,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-039-0001,BOX-00070,RFID-BOS-070,SMALL,ORD-20250601-039,ZONE-A,2025-06-01,22.89,19.12,29,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-041-0001,BOX-00003,RFID-BOS-003,SMALL,ORD-20250601-041,ZONE-C,2025-06-01,-1.05,-4.85,19,ON_TIME,GOOD,True,296,0-12h,2025-06
BA-20250601-042-0001,BOX-00004,RFID-BOS-004,SMALL,ORD-20250601-042,ZONE-A,2025-06-01,25.77,22.95,23,LATE,GOOD,True,296,24-48h,2025-06
BA-20250601-043-0001,BOX-00026,RFID-BOS-026,MEDIUM,ORD-20250601-043,ZONE-A,2025-06-01,13.09,10.32,22,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-046-0001,BOX-00008,RFID-BOS-008,SMALL,ORD-20250601-046,ZONE-D,2025-06-01,42.2,38.65,27,LATE,GOOD,True,296,24-48h,2025-06
BA-20250601-050-0001,BOX-00020,RFID-BOS-020,SMALL,ORD-20250601-050,ZONE-C,2025-06-01,39.65,37.2,30,LATE,DAMAGED,True,296,24-48h,2025-06
BA-20250601-053-0001,BOX-00023,RFID-BOS-023,SMALL,ORD-20250601-053,ZONE-A,2025-06-01,143.57,139.92,16,OVERDUE,GOOD,True,296,72h+,2025-06
BA-20250601-056-0001,BOX-00032,RFID-BOS-032,MEDIUM,ORD-20250601-056,ZONE-B,2025-06-01,4.54,2.33,38,ON_TIME,GOOD,True,296,0-12h,2025-06
BA-20250601-057-0001,BOX-00029,RFID-BOS-029,SMALL,ORD-20250601-057,ZONE-B,2025-06-01,22.45,19.22,35,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-058-0001,BOX-00031,RFID-BOS-031,SMALL,ORD-20250601-058,ZONE-B,2025-06-01,149.85,148.03,22,OVERDUE,GOOD,True,296,72h+,2025-06
BA-20250601-059-0001,BOX-00033,RFID-BOS-033,SMALL,ORD-20250601-059,ZONE-D,2025-06-01,25.58,21.5,24,LATE,GOOD,True,296,24-48h,2025-06
BA-20250601-061-0001,BOX-00035,RFID-BOS-035,SMALL,ORD-20250601-061,ZONE-D,2025-06-01,21.8,19.38,40,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-063-0001,BOX-00037,RFID-BOS-037,SMALL,ORD-20250601-063,ZONE-C,2025-06-01,164.39,162.73,12,OVERDUE,DAMAGED,True,296,72h+,2025-06
BA-20250601-064-0001,BOX-00039,RFID-BOS-039,SMALL,ORD-20250601-064,ZONE-B,2025-06-01,18.87,15.4,3,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-065-0001,BOX-00042,RFID-BOS-042,SMALL,ORD-20250601-065,ZONE-B,2025-06-01,-4.88,-8.92,28,ON_TIME,GOOD,True,296,0-12h,2025-06
BA-20250601-066-0001,BOX-00044,RFID-BOS-044,SMALL,ORD-20250601-066,ZONE-A,2025-06-01,137.27,134.62,12,OVERDUE,GOOD,True,296,72h+,2025-06
BA-20250601-067-0001,BOX-00045,RFID-BOS-045,SMALL,ORD-20250601-067,ZONE-A,2025-06-01,17.48,13.55,29,ON_TIME,NEEDS_CLEANING,True,296,12-24h,2025-06
BA-20250601-068-0001,BOX-00049,RFID-BOS-049,SMALL,ORD-20250601-068,ZONE-C,2025-06-01,19.82,16.9,3,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-070-0001,BOX-00055,RFID-BOS-055,SMALL,ORD-20250601-070,ZONE-D,2025-06-01,29.72,25.38,42,LATE,GOOD,True,296,24-48h,2025-06
BA-20250601-071-0001,BOX-00058,RFID-BOS-058,SMALL,ORD-20250601-071,ZONE-A,2025-06-01,37.43,35.62,31,LATE,GOOD,True,296,24-48h,2025-06
BA-20250601-072-0001,BOX-00061,RFID-BOS-061,SMALL,ORD-20250601-072,ZONE-A,2025-06-01,19.89,15.83,38,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-073-0001,BOX-00062,RFID-BOS-062,SMALL,ORD-20250601-073,ZONE-B,2025-06-01,15.62,12.12,18,ON_TIME,NEEDS_CLEANING,True,296,12-24h,2025-06
BA-20250601-075-0001,BOX-00064,RFID-BOS-064,SMALL,ORD-20250601-075,ZONE-B,2025-06-01,16.94,14.85,31,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-076-0001,BOX-00065,RFID-BOS-065,SMALL,ORD-20250601-076,ZONE-D,2025-06-01,22.4,17.88,38,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-080-0001,BOX-00070,RFID-BOS-070,SMALL,ORD-20250601-080,ZONE-D,2025-06-01,21.56,17.53,8,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-082-0001,BOX-00003,RFID-BOS-003,SMALL,ORD-20250601-082,ZONE-A,2025-06-01,18.35,14.35,31,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-086-0001,BOX-00008,RFID-BOS-008,SMALL,ORD-20250601-086,ZONE-A,2025-06-01,15.69,11.7,30,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250602-001-0001,BOX-00003,RFID-BOS-003,SMALL,ORD-20250602-001,ZONE-A,2025-06-02,23.88,19.68,42,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-007-0001,BOX-00010,RFID-BOS-010,SMALL,ORD-20250602-007,ZONE-B,2025-06-02,24.45,21.85,7,LATE,GOOD,True,295,24-48h,2025-06
BA-20250602-009-0001,BOX-00020,RFID-BOS-020,SMALL,ORD-20250602-009,ZONE-C,2025-06-02,-4.24,-7.05,14,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-010-0001,BOX-00013,RFID-BOS-013,MEDIUM,ORD-20250602-010,ZONE-B,2025-06-02,,,19,OUTSTANDING,,False,295,OUTSTANDING,2025-06
BA-20250602-012-0001,BOX-00023,RFID-BOS-023,SMALL,ORD-20250602-012,ZONE-B,2025-06-02,19.14,16.98,34,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-013-0001,BOX-00024,RFID-BOS-024,SMALL,ORD-20250602-013,ZONE-B,2025-06-02,14.61,12.35,42,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-016-0001,BOX-00028,RFID-BOS-028,SMALL,ORD-20250602-016,ZONE-A,2025-06-02,19.48,15.73,17,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-018-0001,BOX-00031,RFID-BOS-031,SMALL,ORD-20250602-018,ZONE-B,2025-06-02,-2.04,-6.02,22,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-021-0001,BOX-00033,RFID-BOS-033,SMALL,ORD-20250602-021,ZONE-A,2025-06-02,14.04,11.23,29,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-022-0001,BOX-00034,RFID-BOS-034,SMALL,ORD-20250602-022,ZONE-C,2025-06-02,64.81,61.58,30,LATE,GOOD,True,295,48-72h,2025-06
BA-20250602-024-0001,BOX-00027,RFID-BOS-027,MEDIUM,ORD-20250602-024,ZONE-A,2025-06-02,53.43,51.68,29,LATE,GOOD,True,295,48-72h,2025-06
BA-20250602-027-0001,BOX-00042,RFID-BOS-042,SMALL,ORD-20250602-027,ZONE-B,2025-06-02,18.36,16.4,24,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-034-0001,BOX-00058,RFID-BOS-058,SMALL,ORD-20250602-034,ZONE-B,2025-06-02,27.0,23.95,22,LATE,GOOD,True,295,24-48h,2025-06
BA-20250602-035-0001,BOX-00061,RFID-BOS-061,SMALL,ORD-20250602-035,ZONE-A,2025-06-02,19.61,17.58,35,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-036-0001,BOX-00062,RFID-BOS-062,SMALL,ORD-20250602-036,ZONE-D,2025-06-02,22.77,18.77,33,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-037-0001,BOX-00063,RFID-BOS-063,SMALL,ORD-20250602-037,ZONE-A,2025-06-02,20.47,17.83,14,ON_TIME,NEEDS_CLEANING,True,295,12-24h,2025-06
BA-20250602-039-0001,BOX-00064,RFID-BOS-064,SMALL,ORD-20250602-039,ZONE-D,2025-06-02,-0.4,-2.98,7,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-040-0001,BOX-00065,RFID-BOS-065,SMALL,ORD-20250602-040,ZONE-A,2025-06-02,24.25,21.08,46,LATE,GOOD,True,295,24-48h,2025-06
BA-20250602-041-0001,BOX-00067,RFID-BOS-067,SMALL,ORD-20250602-041,ZONE-A,2025-06-02,20.0,17.37,14,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-042-0001,BOX-00068,RFID-BOS-068,SMALL,ORD-20250602-042,ZONE-C,2025-06-02,26.74,22.32,49,LATE,GOOD,True,295,24-48h,2025-06
BA-20250602-046-0001,BOX-00004,RFID-BOS-004,SMALL,ORD-20250602-046,ZONE-B,2025-06-02,11.99,9.88,25,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-051-0001,BOX-00010,RFID-BOS-010,SMALL,ORD-20250602-051,ZONE-A,2025-06-02,-7.32,-9.05,19,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-053-0001,BOX-00020,RFID-BOS-020,SMALL,ORD-20250602-053,ZONE-B,2025-06-02,28.82,26.6,40,LATE,GOOD,True,295,24-48h,2025-06
BA-20250602-055-0001,BOX-00023,RFID-BOS-023,SMALL,ORD-20250602-055,ZONE-A,2025-06-02,18.04,15.12,31,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-056-0001,BOX-00040,RFID-BOS-040,MEDIUM,ORD-20250602-056,ZONE-B,2025-06-02,-4.54,-8.68,19,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-058-0001,BOX-00043,RFID-BOS-043,MEDIUM,ORD-20250602-058,ZONE-C,2025-06-02,24.25,20.1,24,LATE,NEEDS_CLEANING,True,295,24-48h,2025-06
BA-20250602-059-0001,BOX-00028,RFID-BOS-028,SMALL,ORD-20250602-059,ZONE-D,2025-06-02,19.22,15.07,18,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-061-0001,BOX-00031,RFID-BOS-031,SMALL,ORD-20250602-061,ZONE-C,2025-06-02,16.99,14.6,32,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-064-0001,BOX-00035,RFID-BOS-035,SMALL,ORD-20250602-064,ZONE-C,2025-06-02,19.87,16.1,12,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-065-0001,BOX-00037,RFID-BOS-037,SMALL,ORD-20250602-065,ZONE-B,2025-06-02,-8.24,-11.95,20,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-066-0001,BOX-00039,RFID-BOS-039,SMALL,ORD-20250602-066,ZONE-B,2025-06-02,26.94,24.78,39,LATE,GOOD,True,295,24-48h,2025-06
BA-20250602-068-0001,BOX-00045,RFID-BOS-045,SMALL,ORD-20250602-068,ZONE-B,2025-06-02,20.88,17.97,42,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-074-0001,BOX-00058,RFID-BOS-058,SMALL,ORD-20250602-074,ZONE-A,2025-06-02,25.7,21.85,30,LATE,GOOD,True,295,24-48h,2025-06
BA-20250602-078-0001,BOX-00064,RFID-BOS-064,SMALL,ORD-20250602-078,ZONE-B,2025-06-02,20.56,18.55,25,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-082-0001,BOX-00070,RFID-BOS-070,SMALL,ORD-20250602-082,ZONE-B,2025-06-02,0.18,-2.62,20,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-084-0001,BOX-00003,RFID-BOS-003,SMALL,ORD-20250602-084,ZONE-A,2025-06-02,-4.24,-7.2,36,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-087-0001,BOX-00004,RFID-BOS-004,SMALL,ORD-20250602-087,ZONE-A,2025-06-02,10.42,7.8,17,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-089-0001,BOX-00006,RFID-BOS-006,SMALL,ORD-20250602-089,ZONE-C,2025-06-02,28.76,25.57,39,LATE,GOOD,True,295,24-48h,2025-06
BA-20250602-091-0001,BOX-00008,RFID-BOS-008,SMALL,ORD-20250602-091,ZONE-C,2025-06-02,22.26,20.12,34,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-092-0001,BOX-00010,RFID-BOS-010,SMALL,ORD-20250602-092,ZONE-C,2025-06-02,10.0,7.67,21,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-098-0001,BOX-00023,RFID-BOS-023,SMALL,ORD-20250602-098,ZONE-A,2025-06-02,18.35,14.8,17,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-103-0001,BOX-00071,RFID-BOS-071,MEDIUM,ORD-20250602-103,ZONE-D,2025-06-02,-4.86,-8.97,15,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-106-0001,BOX-00035,RFID-BOS-035,SMALL,ORD-20250602-106,ZONE-A,2025-06-02,32.4,28.33,36,LATE,GOOD,True,295,24-48h,2025-06
BA-20250602-107-0001,BOX-00037,RFID-BOS-037,SMALL,ORD-20250602-107,ZONE-C,2025-06-02,-9.27,-12.4,27,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-109-0001,BOX-00042,RFID-BOS-042,SMALL,ORD-20250602-109,ZONE-D,2025-06-02,19.86,15.33,30,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-110-0001,BOX-00045,RFID-BOS-045,SMALL,ORD-20250602-110,ZONE-B,2025-06-02,-5.09,-8.77,18,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-112-0001,BOX-00053,RFID-BOS-053,SMALL,ORD-20250602-112,ZONE-C,2025-06-02,22.62,18.12,36,ON_TIME,DAMAGED,True,295,12-24h,2025-06
BA-20250602-114-0001,BOX-00072,RFID-BOS-072,MEDIUM,ORD-20250602-114,ZONE-A,2025-06-02,-5.22,-8.5,50,ON_TIME,GOOD,True,295,0-12h,2025-06
BA-20250602-116-0001,BOX-00058,RFID-BOS-058,SMALL,ORD-20250602-116,ZONE-B,2025-06-02,19.0,16.25,7,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-117-0001,BOX-00061,RFID-BOS-061,SMALL,ORD-20250602-117,ZONE-A,2025-06-02,18.98,16.03,26,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-118-0001,BOX-00062,RFID-BOS-062,SMALL,ORD-20250602-118,ZONE-B,2025-06-02,24.07,22.25,13,LATE,NEEDS_CLEANING,True,295,24-48h,2025-06
BA-20250602-120-0001,BOX-00063,RFID-BOS-063,SMALL,ORD-20250602-120,ZONE-C,2025-06-02,16.46,12.6,4,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-121-0001,BOX-00064,RFID-BOS-064,SMALL,ORD-20250602-121,ZONE-B,2025-06-02,23.95,22.05,19,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-122-0001,BOX-00065,RFID-BOS-065,SMALL,ORD-20250602-122,ZONE-D,2025-06-02,25.88,22.45,37,LATE,GOOD,True,295,24-48h,2025-06
BA-20250602-128-0001,BOX-00075,RFID-BOS-075,SMALL,ORD-20250602-128,ZONE-B,2025-06-02,16.59,12.53,38,ON_TIME,GOOD,True,295,12-24h,2025-06
BA-20250602-129-0001,BOX-00003,RFID-BOS-003,SMALL,ORD-20250602-129,ZONE-A,2025-06-02,70.44,67.52,38,LATE,GOOD,True,295,48-72h,2025-06
BA-20250602-130-0001,BOX-00004,RFID-BOS-004,SMALL,ORD-20250602-130,ZONE-C,2025-06-02,15.77,12.33,18,ON_TIME,NEEDS_CLEANING,True,295,12-24h,2025-06
BA-20250602-131-0001,BOX-00079,RFID-BOS-079,MEDIUM,ORD-20250602-131,ZONE-C,2025-06-02,119.98,117.5,39,OVERDUE,GOOD,True,295,72h+,2025-06
BA-20250603-001-0001,BOX-00003,RFID-BOS-003,SMALL,ORD-20250603-001,ZONE-D,2025-06-03,18.68,14.07,23,ON_TIME,NEEDS_CLEANING,True,294,12-24h,2025-06
BA-20250603-006-0001,BOX-00010,RFID-BOS-010,SMALL,ORD-20250603-006,ZONE-B,2025-06-03,19.16,16.08,27,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-010-0001,BOX-00023,RFID-BOS-023,SMALL,ORD-20250603-010,ZONE-D,2025-06-03,24.21,21.85,14,LATE,GOOD,True,294,24-48h,2025-06
BA-20250603-013-0001,BOX-00028,RFID-BOS-028,SMALL,ORD-20250603-013,ZONE-A,2025-06-03,44.99,40.9,43,LATE,GOOD,True,294,24-48h,2025-06
BA-20250603-015-0001,BOX-00031,RFID-BOS-031,SMALL,ORD-20250603-015,ZONE-B,2025-06-03,-5.4,-8.72,33,ON_TIME,GOOD,True,294,0-12h,2025-06
BA-20250603-018-0001,BOX-00035,RFID-BOS-035,SMALL,ORD-20250603-018,ZONE-A,2025-06-03,15.07,11.13,21,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-019-0001,BOX-00037,RFID-BOS-037,SMALL,ORD-20250603-019,ZONE-D,2025-06-03,13.86,10.35,19,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-021-0001,BOX-00042,RFID-BOS-042,SMALL,ORD-20250603-021,ZONE-C,2025-06-03,25.68,22.87,12,LATE,GOOD,True,294,24-48h,2025-06
BA-20250603-029-0001,BOX-00063,RFID-BOS-063,SMALL,ORD-20250603-029,ZONE-B,2025-06-03,17.03,15.13,25,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-032-0001,BOX-00065,RFID-BOS-065,SMALL,ORD-20250603-032,ZONE-C,2025-06-03,23.93,20.63,32,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-036-0001,BOX-00075,RFID-BOS-075,SMALL,ORD-20250603-036,ZONE-A,2025-06-03,16.36,14.45,17,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-037-0001,BOX-00003,RFID-BOS-003,SMALL,ORD-20250603-037,ZONE-B,2025-06-03,19.41,17.57,12,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-038-0001,BOX-00004,RFID-BOS-004,SMALL,ORD-20250603-038,ZONE-A,2025-06-03,20.0,16.22,21,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-040-0001,BOX-00006,RFID-BOS-006,SMALL,ORD-20250603-040,ZONE-C,2025-06-03,-10.32,-12.7,33,ON_TIME,GOOD,True,294,0-12h,2025-06
BA-20250603-041-0001,BOX-00019,RFID-BOS-019,MEDIUM,ORD-20250603-041,ZONE-B,2025-06-03,18.01,14.22,21,ON_TIME,DAMAGED,True,294,12-24h,2025-06
BA-20250603-044-0001,BOX-00026,RFID-BOS-026,MEDIUM,ORD-20250603-044,ZONE-D,2025-06-03,14.22,10.3,37,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-045-0001,BOX-00010,RFID-BOS-010,SMALL,ORD-20250603-045,ZONE-C,2025-06-03,62.48,60.15,20,LATE,GOOD,True,294,48-72h,2025-06
BA-20250603-046-0001,BOX-00011,RFID-BOS-011,SMALL,ORD-20250603-046,ZONE-C,2025-06-03,-1.44,-3.43,15,ON_TIME,GOOD,True,294,0-12h,2025-06
BA-20250603-047-0001,BOX-00022,RFID-BOS-022,SMALL,ORD-20250603-047,ZONE-A,2025-06-03,15.17,12.65,12,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-048-0001,BOX-00023,RFID-BOS-023,SMALL,ORD-20250603-048,ZONE-A,2025-06-03,15.83,12.93,37,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-052-0001,BOX-00031,RFID-BOS-031,SMALL,ORD-20250603-052,ZONE-C,2025-06-03,15.35,12.93,39,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-054-0001,BOX-00034,RFID-BOS-034,SMALL,ORD-20250603-054,ZONE-B,2025-06-03,-6.16,-8.12,33,ON_TIME,GOOD,True,294,0-12h,2025-06
BA-20250603-055-0001,BOX-00035,RFID-BOS-035,SMALL,ORD-20250603-055,ZONE-B,2025-06-03,-5.09,-8.28,37,ON_TIME,GOOD,True,294,0-12h,2025-06
BA-20250603-058-0001,BOX-00037,RFID-BOS-037,SMALL,ORD-20250603-058,ZONE-A,2025-06-03,23.95,21.98,32,ON_TIME,NEEDS_CLEANING,True,294,12-24h,2025-06
BA-20250603-063-0001,BOX-00038,RFID-BOS-038,MEDIUM,ORD-20250603-063,ZONE-C,2025-06-03,16.19,12.4,21,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-064-0001,BOX-00040,RFID-BOS-040,MEDIUM,ORD-20250603-064,ZONE-B,2025-06-03,74.36,71.05,39,OVERDUE,GOOD,True,294,72h+,2025-06
BA-20250603-066-0001,BOX-00053,RFID-BOS-053,SMALL,ORD-20250603-066,ZONE-C,2025-06-03,19.55,16.92,39,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-067-0001,BOX-00055,RFID-BOS-055,SMALL,ORD-20250603-067,ZONE-A,2025-06-03,21.37,18.5,28,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-068-0001,BOX-00058,RFID-BOS-058,SMALL,ORD-20250603-068,ZONE-D,2025-06-03,17.1,13.92,31,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-071-0001,BOX-00043,RFID-BOS-043,MEDIUM,ORD-20250603-071,ZONE-B,2025-06-03,23.39,21.17,47,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-073-0001,BOX-00064,RFID-BOS-064,SMALL,ORD-20250603-073,ZONE-C,2025-06-03,20.03,15.85,13,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-078-0001,BOX-00057,RFID-BOS-057,MEDIUM,ORD-20250603-078,ZONE-C,2025-06-03,22.82,20.7,23,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-084-0001,BOX-00003,RFID-BOS-003,SMALL,ORD-20250603-084,ZONE-B,2025-06-03,75.98,72.95,20,OVERDUE,GOOD,True,294,72h+,2025-06
BA-20250603-089-0001,BOX-00010,RFID-BOS-010,SMALL,ORD-20250603-089,ZONE-C,2025-06-03,25.86,24.25,23,LATE,GOOD,True,294,24-48h,2025-06
BA-20250603-093-0001,BOX-00024,RFID-BOS-024,SMALL,ORD-20250603-093,ZONE-B,2025-06-03,-1.79,-4.0,30,ON_TIME,NEEDS_CLEANING,True,294,0-12h,2025-06
BA-20250603-096-0001,BOX-00028,RFID-BOS-028,SMALL,ORD-20250603-096,ZONE-C,2025-06-03,21.03,18.95,17,ON_TIME,GOOD,True,294,12-24h,2025-06
BA-20250603-099-0001,BOX-00033,RFID-BOS-033,SMALL,ORD-20250603-099,ZONE-A,2025-06-03,-6.77,-8.62,24,ON_TIME,GOOD,True,294,0-12h,2025-06
BA-20250603-100-0001,BOX-00034,RFID-BOS-034,SMALL,ORD-20250603-100,ZONE-A,2025-06-03,28.24,24.27,32,LATE,GOOD,True,294,24-48h,2025-06
