assignment_id,order_id,box_id,rfid_tag,box_type,box_capacity,sequence_number,subsequence,lifecycle_phase,sla_status,assigned_at,dispatched_at,delivered_at,picked_up_at,returned_at,return_condition,turnaround_hours,dispatch_lag_minutes,dwell_hours,days_since_assigned,is_returned,assignment_date
BA-20250601-025-0001,ORD-20250601-025,BOX-00049,RFID-BOS-049,SMALL,2,25,0001,COMPLETED,LATE,2025-06-01 17:28:56,2025-06-01 17:55:53,2025-06-01 18:55:56,2025-06-03 10:34:39,2025-06-03 12:34:39,GOOD,43.1,27,39.65,296,True,2025-06-01
BA-20250601-026-0001,ORD-20250601-026,BOX-00053,RFID-BOS-053,SMALL,2,26,0001,COMPLETED,ON_TIME,2025-06-01 20:21:54,2025-06-01 20:37:14,2025-06-01 20:56:54,2025-06-02 09:58:27,2025-06-02 12:58:27,GOOD,16.61,16,13.03,296,True,2025-06-01
BA-20250601-027-0001,ORD-20250601-027,BOX-00055,RFID-BOS-055,SMALL,2,27,0001,COMPLETED,ON_TIME,2025-06-01 16:07:32,2025-06-01 16:31:21,2025-06-01 17:28:32,2025-06-02 10:24:25,2025-06-02 11:24:25,GOOD,19.28,24,16.93,296,True,2025-06-01
BA-20250601-028-0001,ORD-20250601-028,BOX-00058,RFID-BOS-058,SMALL,2,28,0001,COMPLETED,OVERDUE,2025-06-01 10:53:15,2025-06-01 11:05:50,2025-06-01 11:28:15,2025-06-04 09:55:50,2025-06-04 10:55:50,GOOD,72.04,12,70.45,296,True,2025-06-01
BA-20250601-029-0001,ORD-20250601-029,BOX-00016,RFID-BOS-016,MEDIUM,4,29,0001,COMPLETED,ON_TIME,2025-06-01 16:21:52,2025-06-01 16:38:14,2025-06-01 17:30:52,2025-06-02 10:01:34,2025-06-02 13:01:34,DAMAGED,20.66,17,16.52,296,True,2025-06-01
BA-20250601-030-0001,ORD-20250601-030,BOX-00061,RFID-BOS-061,SMALL,2,30,0001,COMPLETED,LATE,2025-06-01 19:26:28,2025-06-01 20:02:46,2025-06-01 20:48:28,2025-06-03 10:31:11,2025-06-03 11:31:11,GOOD,40.08,36,37.72,296,True,2025-06-01
BA-20250601-031-0001,ORD-20250601-031,BOX-00062,RFID-BOS-062,SMALL,2,31,0001,COMPLETED,LATE,2025-06-01 12:50:12,2025-06-01 13:13:10,2025-06-01 13:37:12,2025-06-04 09:06:46,2025-06-04 10:06:46,GOOD,69.28,23,67.48,296,True,2025-06-01
BA-20250601-032-0001,ORD-20250601-032,BOX-00063,RFID-BOS-063,SMALL,2,32,0001,COMPLETED,ON_TIME,2025-06-01 10:17:06,2025-06-01 10:44:36,2025-06-01 11:16:06,2025-06-01 10:08:30,2025-06-01 12:08:30,GOOD,1.86,27,-1.13,296,True,2025-06-01
BA-20250601-033-0001,ORD-20250601-033,BOX-00064,RFID-BOS-064,SMALL,2,33,0001,COMPLETED,ON_TIME,2025-06-01 07:47:18,2025-06-01 08:20:36,2025-06-01 08:39:18,2025-06-01 12:14:01,2025-06-01 13:14:01,GOOD,5.45,33,3.58,296,True,2025-06-01
BA-20250601-034-0001,ORD-20250601-034,BOX-00019,RFID-BOS-019,MEDIUM,4,34,0001,COMPLETED,ON_TIME,2025-06-01 19:16:57,2025-06-01 19:56:04,2025-06-01 20:14:57,2025-06-02 12:11:43,2025-06-02 15:11:43,GOOD,19.91,40,15.95,296,True,2025-06-01
BA-20250601-035-0001,ORD-20250601-035,BOX-00065,RFID-BOS-065,SMALL,2,35,0001,COMPLETED,OVERDUE,2025-06-01 11:53:46,2025-06-01 12:25:40,2025-06-01 12:59:46,2025-06-07 08:09:05,2025-06-07 09:09:05,DAMAGED,141.26,32,139.17,296,True,2025-06-01
BA-20250601-036-0001,ORD-20250601-036,BOX-00067,RFID-BOS-067,SMALL,2,36,0001,COMPLETED,ON_TIME,2025-06-01 14:59:34,2025-06-01 15:22:23,2025-06-01 16:06:34,2025-06-01 08:45:26,2025-06-01 11:45:26,GOOD,-3.24,23,-7.35,296,True,2025-06-01
BA-20250601-037-0001,ORD-20250601-037,BOX-00025,RFID-BOS-025,MEDIUM,4,37,0001,COMPLETED,ON_TIME,2025-06-01 19:32:29,2025-06-01 20:16:25,2025-06-01 20:48:29,2025-06-02 10:13:52,2025-06-02 11:13:52,GOOD,15.69,44,13.42,296,True,2025-06-01
BA-20250601-038-0001,ORD-20250601-038,BOX-00068,RFID-BOS-068,SMALL,2,38,0001,COMPLETED,LATE,2025-06-01 10:32:00,2025-06-01 11:01:37,2025-06-01 11:28:00,2025-06-02 09:47:08,2025-06-02 11:47:08,GOOD,25.25,29,22.32,296,True,2025-06-01
BA-20250601-039-0001,ORD-20250601-039,BOX-00070,RFID-BOS-070,SMALL,2,39,0001,COMPLETED,ON_TIME,2025-06-01 14:23:25,2025-06-01 14:52:35,2025-06-01 15:09:25,2025-06-02 10:16:58,2025-06-02 13:16:58,GOOD,22.89,29,19.12,296,True,2025-06-01
BA-20250601-040-0001,ORD-20250601-040,BOX-00075,RFID-BOS-075,SMALL,2,40,0001,COMPLETED,LATE,2025-06-01 18:16:44,2025-06-01 18:38:35,2025-06-01 19:13:44,2025-06-03 10:03:51,2025-06-03 11:03:51,GOOD,40.79,22,38.83,296,True,2025-06-01
BA-20250601-041-0001,ORD-20250601-041,BOX-00003,RFID-BOS-003,SMALL,2,41,0001,COMPLETED,ON_TIME,2025-06-01 11:19:48,2025-06-01 11:38:46,2025-06-01 12:08:48,2025-06-01 07:17:05,2025-06-01 10:17:05,GOOD,-1.05,19,-4.85,296,True,2025-06-01
BA-20250601-042-0001,ORD-20250601-042,BOX-00004,RFID-BOS-004,SMALL,2,42,0001,COMPLETED,LATE,2025-06-01 11:03:06,2025-06-01 11:26:18,2025-06-01 11:52:06,2025-06-02 10:49:09,2025-06-02 12:49:09,GOOD,25.77,23,22.95,296,True,2025-06-01
BA-20250601-043-0001,ORD-20250601-043,BOX-00026,RFID-BOS-026,MEDIUM,4,43,0001,COMPLETED,ON_TIME,2025-06-01 21:02:46,2025-06-01 21:24:29,2025-06-01 21:49:46,2025-06-02 08:08:21,2025-06-02 10:08:21,GOOD,13.09,22,10.32,296,True,2025-06-01
BA-20250601-044-0001,ORD-20250601-044,BOX-00005,RFID-BOS-005,SMALL,2,44,0001,COMPLETED,LATE,2025-06-01 20:03:50,2025-06-01 20:37:11,2025-06-01 20:55:50,2025-06-03 11:04:17,2025-06-03 12:04:17,GOOD,40.01,34,38.15,296,True,2025-06-01
BA-20250601-045-0001,ORD-20250601-045,BOX-00006,RFID-BOS-006,SMALL,2,45,0001,COMPLETED,LATE,2025-06-01 11:41:25,2025-06-01 12:15:41,2025-06-01 13:19:25,2025-06-02 12:32:54,2025-06-02 14:32:54,DAMAGED,26.86,34,23.22,296,True,2025-06-01
BA-20250601-046-0001,ORD-20250601-046,BOX-00008,RFID-BOS-008,SMALL,2,46,0001,COMPLETED,LATE,2025-06-01 18:13:09,2025-06-01 18:40:00,2025-06-01 19:45:09,2025-06-03 10:24:55,2025-06-03 12:24:55,GOOD,42.2,27,38.65,296,True,2025-06-01
BA-20250601-047-0001,ORD-20250601-047,BOX-00010,RFID-BOS-010,SMALL,2,47,0001,COMPLETED,ON_TIME,2025-06-01 14:28:29,2025-06-01 15:04:47,2025-06-01 15:27:29,2025-06-02 08:20:36,2025-06-02 10:20:36,DAMAGED,19.87,36,16.88,296,True,2025-06-01
BA-20250601-048-0001,ORD-20250601-048,BOX-00011,RFID-BOS-011,SMALL,2,48,0001,COMPLETED,ON_TIME,2025-06-01 16:17:09,2025-06-01 16:45:00,2025-06-01 17:28:09,2025-06-02 09:55:26,2025-06-02 11:55:26,GOOD,19.64,28,16.45,296,True,2025-06-01
BA-20250601-049-0001,ORD-20250601-049,BOX-00027,RFID-BOS-027,MEDIUM,4,49,0001,COMPLETED,LATE,2025-06-01 16:13:10,2025-06-01 16:31:59,2025-06-01 17:08:10,2025-06-03 11:04:46,2025-06-03 12:04:46,GOOD,43.86,18,41.93,296,True,2025-06-01
BA-20250601-050-0001,ORD-20250601-050,BOX-00020,RFID-BOS-020,SMALL,2,50,0001,COMPLETED,LATE,2025-06-01 19:01:26,2025-06-01 19:31:26,2025-06-01 20:28:26,2025-06-03 09:40:28,2025-06-03 10:40:28,DAMAGED,39.65,30,37.2,296,True,2025-06-01
BA-20250601-051-0001,ORD-20250601-051,BOX-00022,RFID-BOS-022,SMALL,2,51,0001,COMPLETED,ON_TIME,2025-06-01 13:42:01,2025-06-01 14:22:52,2025-06-01 15:05:01,2025-06-01 07:31:41,2025-06-01 09:31:41,GOOD,-4.17,40,-7.57,296,True,2025-06-01
BA-20250601-052-0001,ORD-20250601-052,BOX-00030,RFID-BOS-030,MEDIUM,4,52,0001,COMPLETED,LATE,2025-06-01 13:41:54,2025-06-01 14:10:54,2025-06-01 14:50:54,2025-06-03 11:05:51,2025-06-03 14:05:51,GOOD,48.4,29,44.25,296,True,2025-06-01
BA-20250601-053-0001,ORD-20250601-053,BOX-00023,RFID-BOS-023,SMALL,2,53,0001,COMPLETED,OVERDUE,2025-06-01 12:16:29,2025-06-01 12:32:29,2025-06-01 12:55:29,2025-06-07 08:50:58,2025-06-07 11:50:58,GOOD,143.57,16,139.92,296,True,2025-06-01
BA-20250601-054-0001,ORD-20250601-054,BOX-00024,RFID-BOS-024,SMALL,2,54,0001,COMPLETED,ON_TIME,2025-06-01 18:12:00,2025-06-01 18:37:44,2025-06-01 19:41:00,2025-06-02 10:47:38,2025-06-02 13:47:38,GOOD,19.59,25,15.1,296,True,2025-06-01
BA-20250601-055-0001,ORD-20250601-055,BOX-00028,RFID-BOS-028,SMALL,2,55,0001,COMPLETED,ON_TIME,2025-06-01 16:08:11,2025-06-01 16:45:06,2025-06-01 17:30:11,2025-06-02 10:45:51,2025-06-02 13:45:51,GOOD,21.63,37,17.25,296,True,2025-06-01
BA-20250601-056-0001,ORD-20250601-056,BOX-00032,RFID-BOS-032,MEDIUM,4,56,0001,COMPLETED,ON_TIME,2025-06-01 06:57:34,2025-06-01 07:35:07,2025-06-01 08:09:34,2025-06-01 10:29:40,2025-06-01 11:29:40,GOOD,4.54,38,2.33,296,True,2025-06-01
BA-20250601-057-0001,ORD-20250601-057,BOX-00029,RFID-BOS-029,SMALL,2,57,0001,COMPLETED,ON_TIME,2025-06-01 16:30:07,2025-06-01 17:05:25,2025-06-01 17:44:07,2025-06-02 12:57:11,2025-06-02 14:57:11,GOOD,22.45,35,19.22,296,True,2025-06-01
BA-20250601-058-0001,ORD-20250601-058,BOX-00031,RFID-BOS-031,SMALL,2,58,0001,COMPLETED,OVERDUE,2025-06-01 06:39:42,2025-06-01 07:01:57,2025-06-01 07:28:42,2025-06-07 11:30:39,2025-06-07 12:30:39,GOOD,149.85,22,148.03,296,True,2025-06-01
BA-20250601-059-0001,ORD-20250601-059,BOX-00033,RFID-BOS-033,SMALL,2,59,0001,COMPLETED,LATE,2025-06-01 12:00:44,2025-06-01 12:24:55,2025-06-01 14:05:44,2025-06-02 11:35:41,2025-06-02 13:35:41,GOOD,25.58,24,21.5,296,True,2025-06-01
BA-20250601-060-0001,ORD-20250601-060,BOX-00034,RFID-BOS-034,SMALL,2,60,0001,COMPLETED,ON_TIME,2025-06-01 13:56:47,2025-06-01 14:36:04,2025-06-01 15:25:47,2025-06-02 09:12:36,2025-06-02 12:12:36,GOOD,22.26,40,17.78,296,True,2025-06-01
BA-20250601-061-0001,ORD-20250601-061,BOX-00035,RFID-BOS-035,SMALL,2,61,0001,COMPLETED,ON_TIME,2025-06-01 12:16:07,2025-06-01 12:56:30,2025-06-01 13:41:07,2025-06-02 09:04:13,2025-06-02 10:04:13,GOOD,21.8,40,19.38,296,True,2025-06-01
BA-20250601-062-0001,ORD-20250601-062,BOX-00038,RFID-BOS-038,MEDIUM,4,62,0001,COMPLETED,ON_TIME,2025-06-01 12:50:56,2025-06-01 13:28:23,2025-06-01 14:02:56,2025-06-02 06:20:52,2025-06-02 07:20:52,GOOD,18.5,38,16.3,296,True,2025-06-01
BA-20250601-063-0001,ORD-20250601-063,BOX-00037,RFID-BOS-037,SMALL,2,63,0001,COMPLETED,OVERDUE,2025-06-01 13:55:01,2025-06-01 14:07:14,2025-06-01 14:34:01,2025-06-08 09:18:08,2025-06-08 10:18:08,DAMAGED,164.39,12,162.73,296,True,2025-06-01
BA-20250601-064-0001,ORD-20250601-064,BOX-00039,RFID-BOS-039,SMALL,2,64,0001,COMPLETED,ON_TIME,2025-06-01 16:49:31,2025-06-01 16:52:29,2025-06-01 17:17:31,2025-06-02 08:41:58,2025-06-02 11:41:58,GOOD,18.87,3,15.4,296,True,2025-06-01
BA-20250601-065-0001,ORD-20250601-065,BOX-00042,RFID-BOS-042,SMALL,2,65,0001,COMPLETED,ON_TIME,2025-06-01 18:11:59,2025-06-01 18:39:13,2025-06-01 19:14:59,2025-06-01 10:19:04,2025-06-01 13:19:04,GOOD,-4.88,28,-8.92,296,True,2025-06-01
BA-20250601-066-0001,ORD-20250601-066,BOX-00044,RFID-BOS-044,SMALL,2,66,0001,COMPLETED,OVERDUE,2025-06-01 15:33:33,2025-06-01 15:45:35,2025-06-01 16:12:33,2025-06-07 06:49:46,2025-06-07 08:49:46,GOOD,137.27,12,134.62,296,True,2025-06-01
BA-20250601-067-0001,ORD-20250601-067,BOX-00045,RFID-BOS-045,SMALL,2,67,0001,COMPLETED,ON_TIME,2025-06-01 18:25:31,2025-06-01 18:54:08,2025-06-01 19:21:31,2025-06-02 08:54:20,2025-06-02 11:54:20,NEEDS_CLEANING,17.48,29,13.55,296,True,2025-06-01
BA-20250601-068-0001,ORD-20250601-068,BOX-00049,RFID-BOS-049,SMALL,2,68,0001,COMPLETED,ON_TIME,2025-06-01 13:25:36,2025-06-01 13:28:49,2025-06-01 14:21:36,2025-06-02 07:15:01,2025-06-02 09:15:01,GOOD,19.82,3,16.9,296,True,2025-06-01
BA-20250601-069-0001,ORD-20250601-069,BOX-00053,RFID-BOS-053,SMALL,2,69,0001,COMPLETED,LATE,2025-06-01 09:04:24,2025-06-01 09:17:46,2025-06-01 09:55:24,2025-06-02 13:33:38,2025-06-02 14:33:38,GOOD,29.49,13,27.63,296,True,2025-06-01
BA-20250601-070-0001,ORD-20250601-070,BOX-00055,RFID-BOS-055,SMALL,2,70,0001,COMPLETED,LATE,2025-06-01 08:23:17,2025-06-01 09:05:08,2025-06-01 09:43:17,2025-06-02 11:06:14,2025-06-02 14:06:14,GOOD,29.72,42,25.38,296,True,2025-06-01
BA-20250601-071-0001,ORD-20250601-071,BOX-00058,RFID-BOS-058,SMALL,2,71,0001,COMPLETED,LATE,2025-06-01 20:35:10,2025-06-01 21:06:52,2025-06-01 21:23:10,2025-06-03 09:00:42,2025-06-03 10:00:42,GOOD,37.43,31,35.62,296,True,2025-06-01
BA-20250601-072-0001,ORD-20250601-072,BOX-00061,RFID-BOS-061,SMALL,2,72,0001,COMPLETED,ON_TIME,2025-06-01 18:55:43,2025-06-01 19:33:04,2025-06-01 19:59:43,2025-06-02 11:49:06,2025-06-02 14:49:06,GOOD,19.89,38,15.83,296,True,2025-06-01
BA-20250601-073-0001,ORD-20250601-073,BOX-00062,RFID-BOS-062,SMALL,2,73,0001,COMPLETED,ON_TIME,2025-06-01 18:23:55,2025-06-01 18:41:01,2025-06-01 18:54:55,2025-06-02 07:01:09,2025-06-02 10:01:09,NEEDS_CLEANING,15.62,18,12.12,296,True,2025-06-01
BA-20250601-074-0001,ORD-20250601-074,BOX-00063,RFID-BOS-063,SMALL,2,74,0001,COMPLETED,LATE,2025-06-01 18:07:34,2025-06-01 18:44:07,2025-06-01 19:57:34,2025-06-04 07:56:21,2025-06-04 09:56:21,GOOD,63.81,37,59.98,296,True,2025-06-01
BA-20250601-075-0001,ORD-20250601-075,BOX-00064,RFID-BOS-064,SMALL,2,75,0001,COMPLETED,ON_TIME,2025-06-01 20:45:59,2025-06-01 21:16:36,2025-06-01 21:51:59,2025-06-02 12:42:10,2025-06-02 13:42:10,GOOD,16.94,31,14.85,296,True,2025-06-01
BA-20250601-076-0001,ORD-20250601-076,BOX-00065,RFID-BOS-065,SMALL,2,76,0001,COMPLETED,ON_TIME,2025-06-01 12:41:56,2025-06-01 13:19:34,2025-06-01 14:12:56,2025-06-02 08:05:45,2025-06-02 11:05:45,GOOD,22.4,38,17.88,296,True,2025-06-01
BA-20250601-077-0001,ORD-20250601-077,BOX-00040,RFID-BOS-040,MEDIUM,4,77,0001,COMPLETED,ON_TIME,2025-06-01 17:03:56,2025-06-01 17:40:34,2025-06-01 17:59:56,2025-06-02 10:08:26,2025-06-02 12:08:26,GOOD,19.07,37,16.15,296,True,2025-06-01
BA-20250601-078-0001,ORD-20250601-078,BOX-00067,RFID-BOS-067,SMALL,2,78,0001,COMPLETED,OVERDUE,2025-06-01 14:04:45,2025-06-01 14:28:38,2025-06-01 14:52:45,2025-06-08 11:01:58,2025-06-08 13:01:58,GOOD,166.95,24,164.15,296,True,2025-06-01
BA-20250601-079-0001,ORD-20250601-079,BOX-00068,RFID-BOS-068,SMALL,2,79,0001,COMPLETED,ON_TIME,2025-06-01 20:18:25,2025-06-01 20:53:31,2025-06-01 21:10:25,2025-06-02 14:03:05,2025-06-02 17:03:05,GOOD,20.74,35,16.88,296,True,2025-06-01
BA-20250601-080-0001,ORD-20250601-080,BOX-00070,RFID-BOS-070,SMALL,2,80,0001,COMPLETED,ON_TIME,2025-06-01 17:10:13,2025-06-01 17:18:30,2025-06-01 18:11:13,2025-06-02 11:43:40,2025-06-02 14:43:40,GOOD,21.56,8,17.53,296,True,2025-06-01
BA-20250601-081-0001,ORD-20250601-081,BOX-00075,RFID-BOS-075,SMALL,2,81,0001,COMPLETED,LATE,2025-06-01 09:27:53,2025-06-01 09:46:08,2025-06-01 10:08:53,2025-06-02 09:30:11,2025-06-02 12:30:11,GOOD,27.04,19,23.37,296,True,2025-06-01
BA-20250601-082-0001,ORD-20250601-082,BOX-00003,RFID-BOS-003,SMALL,2,82,0001,COMPLETED,ON_TIME,2025-06-01 18:57:15,2025-06-01 19:28:40,2025-06-01 19:57:15,2025-06-02 10:18:18,2025-06-02 13:18:18,GOOD,18.35,31,14.35,296,True,2025-06-01
BA-20250601-083-0001,ORD-20250601-083,BOX-00004,RFID-BOS-004,SMALL,2,83,0001,COMPLETED,OVERDUE,2025-06-01 13:10:41,2025-06-01 13:26:26,2025-06-01 14:02:41,2025-06-08 11:56:46,2025-06-08 12:56:46,GOOD,167.77,16,165.9,296,True,2025-06-01
BA-20250601-084-0001,ORD-20250601-084,BOX-00005,RFID-BOS-005,SMALL,2,84,0001,COMPLETED,LATE,2025-06-01 14:08:50,2025-06-01 14:33:28,2025-06-01 15:17:50,2025-06-03 08:58:53,2025-06-03 10:58:53,GOOD,44.83,25,41.68,296,True,2025-06-01
BA-20250601-085-0001,ORD-20250601-085,BOX-00006,RFID-BOS-006,SMALL,2,85,0001,COMPLETED,LATE,2025-06-01 13:17:01,2025-06-01 13:40:04,2025-06-01 14:41:01,2025-06-04 09:20:48,2025-06-04 12:20:48,DAMAGED,71.06,23,66.65,296,True,2025-06-01
BA-20250601-086-0001,ORD-20250601-086,BOX-00008,RFID-BOS-008,SMALL,2,86,0001,COMPLETED,ON_TIME,2025-06-01 19:25:28,2025-06-01 19:55:26,2025-06-01 20:24:28,2025-06-02 08:06:44,2025-06-02 11:06:44,GOOD,15.69,30,11.7,296,True,2025-06-01
BA-20250601-087-0001,ORD-20250601-087,BOX-00010,RFID-BOS-010,SMALL,2,87,0001,COMPLETED,LATE,2025-06-01 06:58:06,2025-06-01 07:13:06,2025-06-01 08:05:06,2025-06-02 12:26:36,2025-06-02 14:26:36,NEEDS_CLEANING,31.48,15,28.35,296,True,2025-06-01
