maintenance_id,box_id,rfid_tag,box_type,maintenance_type,start_date,end_date,maintenance_date,year_month,notes,cost,downtime_hours,cumulative_cost_per_box,maintenance_sequence,box_total_assignments,cost_per_assignment
MAINT-00024,BOX-00011,RFID-BOS-011,SMALL,CLEANING,2025-06-03 14:43:29,2025-06-03 16:43:29,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,20.06,2,31,0.0806
MAINT-00050,BOX-00070,RFID-BOS-070,SMALL,REPAIR,2025-06-03 15:54:16,2025-06-04 15:54:16,2025-06-03,2025-06,Post-return repair after 5 uses,41.25,24.0,41.25,1,60,0.6875
MAINT-00034,BOX-00035,RFID-BOS-035,SMALL,CLEANING,2025-06-03 15:55:08,2025-06-03 17:55:08,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,45.27,2,66,0.0379
MAINT-00015,BOX-00053,RFID-BOS-053,SMALL,REPAIR,2025-06-03 16:01:46,2025-06-04 16:01:46,2025-06-03,2025-06,Post-return repair after 3 uses,37.16,24.0,45.83,2,26,1.4292
MAINT-00030,BOX-00029,RFID-BOS-029,SMALL,CLEANING,2025-06-03 19:19:52,2025-06-03 21:19:52,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,35.67,2,61,0.041
MAINT-00026,BOX-00022,RFID-BOS-022,SMALL,CLEANING,2025-06-04 10:04:39,2025-06-04 12:04:39,2025-06-04,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,101,0.0248
MAINT-00074,BOX-00037,RFID-BOS-037,SMALL,CLEANING,2025-06-04 10:14:45,2025-06-04 12:14:45,2025-06-04,2025-06,Post-return cleaning after 10 uses,2.5,2.0,5.0,2,97,0.0258
MAINT-00058,BOX-00068,RFID-BOS-068,SMALL,REPAIR,2025-06-04 10:22:55,2025-06-05 10:22:55,2025-06-04,2025-06,Post-return repair after 7 uses,28.53,24.0,31.03,2,23,1.2404
MAINT-00060,BOX-00004,RFID-BOS-004,SMALL,CLEANING,2025-06-04 10:26:18,2025-06-04 12:26:18,2025-06-04,2025-06,Post-return cleaning after 10 uses,2.5,2.0,5.0,2,54,0.0463
MAINT-00056,BOX-00056,RFID-BOS-056,MEDIUM,REPAIR,2025-06-04 11:06:22,2025-06-05 11:06:22,2025-06-04,2025-06,Post-return repair after 2 uses,34.19,24.0,34.19,1,30,1.1397
MAINT-00081,BOX-00010,RFID-BOS-010,SMALL,REPAIR,2025-06-04 11:13:49,2025-06-05 11:13:49,2025-06-04,2025-06,Post-return repair after 12 uses,36.36,24.0,46.67,3,64,0.5681
MAINT-00083,BOX-00053,RFID-BOS-053,SMALL,REPAIR,2025-06-04 11:42:46,2025-06-05 11:42:46,2025-06-04,2025-06,Post-return repair after 11 uses,42.59,24.0,88.42,3,26,1.6381
MAINT-00055,BOX-00027,RFID-BOS-027,MEDIUM,REPAIR,2025-06-04 12:00:02,2025-06-05 12:00:02,2025-06-04,2025-06,Post-return repair after 3 uses,8.05,24.0,8.05,1,16,0.5031
MAINT-00057,BOX-00057,RFID-BOS-057,MEDIUM,REPAIR,2025-06-04 12:01:19,2025-06-05 12:01:19,2025-06-04,2025-06,Post-return repair after 2 uses,17.83,24.0,17.83,1,37,0.4819
MAINT-00073,BOX-00035,RFID-BOS-035,SMALL,CLEANING,2025-06-04 12:37:23,2025-06-04 14:37:23,2025-06-04,2025-06,Post-return cleaning after 10 uses,2.5,2.0,47.77,3,66,0.0379
MAINT-00012,BOX-00006,RFID-BOS-006,SMALL,REPAIR,2025-06-04 12:50:48,2025-06-05 12:50:48,2025-06-04,2025-06,Post-return repair after 3 uses,40.8,24.0,52.06,3,60,0.68
MAINT-00023,BOX-00060,RFID-BOS-060,MEDIUM,REPAIR,2025-06-04 12:56:04,2025-06-05 12:56:04,2025-06-04,2025-06,Post-return repair after 1 uses,49.25,24.0,49.25,1,7,7.0357
MAINT-00062,BOX-00006,RFID-BOS-006,SMALL,CLEANING,2025-06-04 13:03:28,2025-06-04 15:03:28,2025-06-04,2025-06,Post-return cleaning after 10 uses,2.5,2.0,54.56,4,60,0.0417
MAINT-00069,BOX-00028,RFID-BOS-028,SMALL,CLEANING,2025-06-04 13:08:49,2025-06-04 15:08:49,2025-06-04,2025-06,Post-return cleaning after 10 uses,2.5,2.0,5.0,2,14,0.1786
MAINT-00053,BOX-00019,RFID-BOS-019,MEDIUM,REPAIR,2025-06-04 13:35:44,2025-06-05 13:35:44,2025-06-04,2025-06,Post-return repair after 3 uses,28.26,24.0,28.26,1,8,3.5325
MAINT-00117,BOX-00029,RFID-BOS-029,SMALL,INSPECTION,2025-06-05 07:43:10,2025-06-05 11:43:10,2025-06-05,2025-06,Post-return inspection after 15 uses,10.0,4.0,45.67,3,61,0.1639
MAINT-00070,BOX-00029,RFID-BOS-029,SMALL,CLEANING,2025-06-05 08:43:34,2025-06-05 10:43:34,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,48.17,4,61,0.041
MAINT-00120,BOX-00035,RFID-BOS-035,SMALL,INSPECTION,2025-06-05 08:59:30,2025-06-05 12:59:30,2025-06-05,2025-06,Post-return inspection after 15 uses,10.0,4.0,57.77,4,66,0.1515
MAINT-00087,BOX-00063,RFID-BOS-063,SMALL,CLEANING,2025-06-05 09:25:11,2025-06-05 11:25:11,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,5.0,2,103,0.0243
MAINT-00080,BOX-00070,RFID-BOS-070,SMALL,REPAIR,2025-06-05 09:54:09,2025-06-06 09:54:09,2025-06-05,2025-06,Post-return repair after 9 uses,31.1,24.0,72.35,2,60,0.5183
MAINT-00113,BOX-00011,RFID-BOS-011,SMALL,INSPECTION,2025-06-05 09:56:36,2025-06-05 13:56:36,2025-06-05,2025-06,Post-return inspection after 15 uses,10.0,4.0,30.06,3,31,0.3226
MAINT-00078,BOX-00053,RFID-BOS-053,SMALL,CLEANING,2025-06-05 10:08:25,2025-06-05 12:08:25,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,90.92,4,26,0.0962
MAINT-00028,BOX-00024,RFID-BOS-024,SMALL,CLEANING,2025-06-05 10:37:40,2025-06-05 12:37:40,2025-06-05,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,49,0.051
MAINT-00091,BOX-00070,RFID-BOS-070,SMALL,CLEANING,2025-06-05 11:11:05,2025-06-05 13:11:05,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,74.85,3,60,0.0417
MAINT-00082,BOX-00038,RFID-BOS-038,MEDIUM,REPAIR,2025-06-05 11:27:14,2025-06-06 11:27:14,2025-06-05,2025-06,Post-return repair after 4 uses,43.6,24.0,43.6,1,12,3.6333
MAINT-00085,BOX-00058,RFID-BOS-058,SMALL,CLEANING,2025-06-05 11:30:23,2025-06-05 13:30:23,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,5.0,2,49,0.051
MAINT-00068,BOX-00024,RFID-BOS-024,SMALL,CLEANING,2025-06-05 11:33:39,2025-06-05 13:33:39,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,5.0,2,49,0.051
MAINT-00067,BOX-00023,RFID-BOS-023,SMALL,CLEANING,2025-06-05 11:52:53,2025-06-05 13:52:53,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,5.0,2,18,0.1389
MAINT-00088,BOX-00064,RFID-BOS-064,SMALL,CLEANING,2025-06-05 12:16:23,2025-06-05 14:16:23,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,5.0,2,33,0.0758
MAINT-00065,BOX-00011,RFID-BOS-011,SMALL,CLEANING,2025-06-05 12:27:52,2025-06-05 14:27:52,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,32.56,4,31,0.0806
MAINT-00109,BOX-00043,RFID-BOS-043,MEDIUM,REPAIR,2025-06-05 12:49:19,2025-06-06 12:49:19,2025-06-05,2025-06,Post-return repair after 4 uses,40.76,24.0,40.76,1,25,1.6304
MAINT-00090,BOX-00068,RFID-BOS-068,SMALL,CLEANING,2025-06-05 12:59:56,2025-06-05 14:59:56,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,33.53,3,23,0.1087
MAINT-00125,BOX-00053,RFID-BOS-053,SMALL,INSPECTION,2025-06-05 13:06:47,2025-06-05 17:06:47,2025-06-05,2025-06,Post-return inspection after 15 uses,10.0,4.0,100.92,5,26,0.3846
MAINT-00079,BOX-00064,RFID-BOS-064,SMALL,REPAIR,2025-06-05 13:29:14,2025-06-06 13:29:14,2025-06-05,2025-06,Post-return repair after 9 uses,21.82,24.0,26.82,3,33,0.6612
MAINT-00072,BOX-00033,RFID-BOS-033,SMALL,CLEANING,2025-06-05 13:31:49,2025-06-05 15:31:49,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,5.0,2,41,0.061
MAINT-00089,BOX-00065,RFID-BOS-065,SMALL,REPAIR,2025-06-05 13:51:26,2025-06-06 13:51:26,2025-06-05,2025-06,Post-return repair after 10 uses,12.73,24.0,15.23,2,34,0.3744
MAINT-00071,BOX-00031,RFID-BOS-031,SMALL,CLEANING,2025-06-05 13:54:08,2025-06-05 15:54:08,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,5.0,2,32,0.0781
MAINT-00086,BOX-00061,RFID-BOS-061,SMALL,CLEANING,2025-06-05 14:20:39,2025-06-05 16:20:39,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,5.0,2,44,0.0568
MAINT-00077,BOX-00045,RFID-BOS-045,SMALL,REPAIR,2025-06-05 14:21:25,2025-06-06 14:21:25,2025-06-05,2025-06,Post-return repair after 10 uses,30.43,24.0,32.93,2,69,0.441
MAINT-00092,BOX-00010,RFID-BOS-010,SMALL,REPAIR,2025-06-05 14:58:18,2025-06-06 14:58:18,2025-06-05,2025-06,Post-return repair after 13 uses,9.5,24.0,56.17,4,64,0.1484
MAINT-00121,BOX-00037,RFID-BOS-037,SMALL,INSPECTION,2025-06-05 15:02:30,2025-06-05 19:02:30,2025-06-05,2025-06,Post-return inspection after 15 uses,10.0,4.0,15.0,3,97,0.1031
MAINT-00066,BOX-00022,RFID-BOS-022,SMALL,CLEANING,2025-06-05 15:13:13,2025-06-05 17:13:13,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,5.0,2,101,0.0248
MAINT-00076,BOX-00042,RFID-BOS-042,SMALL,CLEANING,2025-06-05 15:58:06,2025-06-05 17:58:06,2025-06-05,2025-06,Post-return cleaning after 10 uses,2.5,2.0,5.0,2,30,0.0833
MAINT-00099,BOX-00027,RFID-BOS-027,MEDIUM,CLEANING,2025-06-06 08:36:00,2025-06-06 10:36:00,2025-06-06,2025-06,Post-return cleaning after 5 uses,2.5,2.0,10.55,2,16,0.1563
MAINT-00100,BOX-00030,RFID-BOS-030,MEDIUM,CLEANING,2025-06-06 08:46:49,2025-06-06 10:46:49,2025-06-06,2025-06,Post-return cleaning after 5 uses,2.5,2.0,49.46,2,29,0.0862
MAINT-00129,BOX-00004,RFID-BOS-004,SMALL,REPAIR,2025-06-06 08:56:34,2025-06-07 08:56:34,2025-06-06,2025-06,Post-return repair after 18 uses,16.69,24.0,21.69,3,54,0.3091
MAINT-00124,BOX-00045,RFID-BOS-045,SMALL,INSPECTION,2025-06-06 09:33:58,2025-06-06 13:33:58,2025-06-06,2025-06,Post-return inspection after 15 uses,10.0,4.0,42.93,3,69,0.1449
MAINT-00118,BOX-00031,RFID-BOS-031,SMALL,REPAIR,2025-06-06 09:41:23,2025-06-07 09:41:23,2025-06-06,2025-06,Post-return repair after 15 uses,40.71,24.0,45.71,3,32,1.2722
MAINT-00097,BOX-00026,RFID-BOS-026,MEDIUM,CLEANING,2025-06-06 09:41:27,2025-06-06 11:41:27,2025-06-06,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,9,0.2778
MAINT-00112,BOX-00005,RFID-BOS-005,SMALL,REPAIR,2025-06-06 10:18:01,2025-06-07 10:18:01,2025-06-06,2025-06,Post-return repair after 16 uses,42.63,24.0,45.13,2,35,1.218
MAINT-00102,BOX-00028,RFID-BOS-028,SMALL,REPAIR,2025-06-06 10:35:51,2025-06-07 10:35:51,2025-06-06,2025-06,Post-return repair after 13 uses,10.93,24.0,15.93,3,14,0.7807
MAINT-00054,BOX-00010,RFID-BOS-010,SMALL,REPAIR,2025-06-06 10:43:02,2025-06-07 10:43:02,2025-06-06,2025-06,Post-return repair after 8 uses,20.19,24.0,76.36,5,64,0.3155
MAINT-00093,BOX-00003,RFID-BOS-003,SMALL,INSPECTION,2025-06-06 10:47:31,2025-06-06 14:47:31,2025-06-06,2025-06,Post-return inspection after 15 uses,10.0,4.0,53.88,3,34,0.2941
MAINT-00134,BOX-00055,RFID-BOS-055,SMALL,REPAIR,2025-06-06 10:52:44,2025-06-07 10:52:44,2025-06-06,2025-06,Post-return repair after 15 uses,9.23,24.0,50.49,4,88,0.1049
MAINT-00116,BOX-00024,RFID-BOS-024,SMALL,INSPECTION,2025-06-06 11:38:25,2025-06-06 15:38:25,2025-06-06,2025-06,Post-return inspection after 15 uses,10.0,4.0,15.0,3,49,0.2041
MAINT-00107,BOX-00008,RFID-BOS-008,SMALL,INSPECTION,2025-06-06 11:40:09,2025-06-06 15:40:09,2025-06-06,2025-06,Post-return inspection after 15 uses,10.0,4.0,10.0,1,32,0.3125
MAINT-00094,BOX-00007,RFID-BOS-007,MEDIUM,CLEANING,2025-06-06 12:27:17,2025-06-06 14:27:17,2025-06-06,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,47,0.0532
MAINT-00103,BOX-00038,RFID-BOS-038,MEDIUM,CLEANING,2025-06-06 12:28:44,2025-06-06 14:28:44,2025-06-06,2025-06,Post-return cleaning after 5 uses,2.5,2.0,46.1,2,12,0.2083
MAINT-00095,BOX-00019,RFID-BOS-019,MEDIUM,REPAIR,2025-06-06 12:49:54,2025-06-07 12:49:54,2025-06-06,2025-06,Post-return repair after 5 uses,44.16,24.0,72.42,2,8,5.52
MAINT-00105,BOX-00005,RFID-BOS-005,SMALL,REPAIR,2025-06-06 13:07:59,2025-06-07 13:07:59,2025-06-06,2025-06,Post-return repair after 15 uses,12.48,24.0,57.61,3,35,0.3566
MAINT-00142,BOX-00030,RFID-BOS-030,MEDIUM,REPAIR,2025-06-06 13:29:09,2025-06-07 13:29:09,2025-06-06,2025-06,Post-return repair after 6 uses,29.81,24.0,79.27,3,29,1.0279
MAINT-00128,BOX-00076,RFID-BOS-076,MEDIUM,REPAIR,2025-06-06 13:29:14,2025-06-07 13:29:14,2025-06-06,2025-06,Post-return repair after 2 uses,5.38,24.0,5.38,1,27,0.1993
MAINT-00104,BOX-00040,RFID-BOS-040,MEDIUM,CLEANING,2025-06-06 13:34:16,2025-06-06 15:34:16,2025-06-06,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,39,0.0641
MAINT-00119,BOX-00033,RFID-BOS-033,SMALL,INSPECTION,2025-06-06 13:39:34,2025-06-06 17:39:34,2025-06-06,2025-06,Post-return inspection after 15 uses,10.0,4.0,15.0,3,41,0.2439
MAINT-00115,BOX-00023,RFID-BOS-023,SMALL,INSPECTION,2025-06-06 13:43:35,2025-06-06 17:43:35,2025-06-06,2025-06,Post-return inspection after 15 uses,10.0,4.0,15.0,3,18,0.5556
MAINT-00101,BOX-00032,RFID-BOS-032,MEDIUM,CLEANING,2025-06-06 13:44:54,2025-06-06 15:44:54,2025-06-06,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,14,0.1786
MAINT-00132,BOX-00022,RFID-BOS-022,SMALL,REPAIR,2025-06-06 13:51:49,2025-06-07 13:51:49,2025-06-06,2025-06,Post-return repair after 17 uses,40.47,24.0,45.47,3,101,0.4007
MAINT-00059,BOX-00003,RFID-BOS-003,SMALL,CLEANING,2025-06-06 13:56:24,2025-06-06 15:56:24,2025-06-06,2025-06,Post-return cleaning after 10 uses,2.5,2.0,56.38,4,34,0.0735
MAINT-00167,BOX-00029,RFID-BOS-029,SMALL,CLEANING,2025-06-06 14:11:26,2025-06-06 16:11:26,2025-06-06,2025-06,Post-return cleaning after 20 uses,2.5,2.0,50.67,5,61,0.041
MAINT-00123,BOX-00042,RFID-BOS-042,SMALL,INSPECTION,2025-06-06 14:29:34,2025-06-06 18:29:34,2025-06-06,2025-06,Post-return inspection after 15 uses,10.0,4.0,15.0,3,30,0.3333
MAINT-00127,BOX-00063,RFID-BOS-063,SMALL,REPAIR,2025-06-06 14:31:12,2025-06-07 14:31:12,2025-06-06,2025-06,Post-return repair after 13 uses,21.34,24.0,26.34,3,103,0.2072
MAINT-00122,BOX-00039,RFID-BOS-039,SMALL,INSPECTION,2025-06-06 14:36:14,2025-06-06 18:36:14,2025-06-06,2025-06,Post-return inspection after 15 uses,10.0,4.0,12.5,2,71,0.1408
MAINT-00161,BOX-00056,RFID-BOS-056,MEDIUM,CLEANING,2025-06-06 14:36:36,2025-06-06 16:36:36,2025-06-06,2025-06,Post-return cleaning after 5 uses,2.5,2.0,36.69,2,30,0.0833
MAINT-00110,BOX-00033,RFID-BOS-033,SMALL,REPAIR,2025-06-06 14:50:45,2025-06-07 14:50:45,2025-06-06,2025-06,Post-return repair after 14 uses,47.87,24.0,62.87,4,41,1.1676
MAINT-00126,BOX-00055,RFID-BOS-055,SMALL,REPAIR,2025-06-06 14:55:29,2025-06-07 14:55:29,2025-06-06,2025-06,Post-return repair after 14 uses,28.23,24.0,78.72,5,88,0.3208
MAINT-00106,BOX-00006,RFID-BOS-006,SMALL,INSPECTION,2025-06-06 15:12:13,2025-06-06 19:12:13,2025-06-06,2025-06,Post-return inspection after 15 uses,10.0,4.0,64.56,5,60,0.1667
MAINT-00160,BOX-00054,RFID-BOS-054,MEDIUM,CLEANING,2025-06-06 15:12:27,2025-06-06 17:12:27,2025-06-06,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,23,0.1087
MAINT-00195,BOX-00011,RFID-BOS-011,SMALL,CLEANING,2025-06-07 09:24:02,2025-06-07 11:24:02,2025-06-07,2025-06,Post-return cleaning after 25 uses,2.5,2.0,35.06,5,31,0.0806
MAINT-00148,BOX-00068,RFID-BOS-068,SMALL,INSPECTION,2025-06-07 09:24:23,2025-06-07 13:24:23,2025-06-07,2025-06,Post-return inspection after 15 uses,10.0,4.0,43.53,4,23,0.4348
MAINT-00005,BOX-00065,RFID-BOS-065,SMALL,REPAIR,2025-06-07 09:39:05,2025-06-08 09:39:05,2025-06-07,2025-06,Post-return repair after 1 uses,39.54,24.0,54.77,3,34,1.1629
MAINT-00063,BOX-00008,RFID-BOS-008,SMALL,CLEANING,2025-06-07 10:06:37,2025-06-07 12:06:37,2025-06-07,2025-06,Post-return cleaning after 10 uses,2.5,2.0,12.5,2,32,0.0781
