order_id,customer_id,address_id,order_date,order_timestamp,order_hour,order_status,order_amount,distinct_items,total_quantity,boxes_used,ctt_max_subsequence,is_multi_box_order,payment_status,payment_method,payment_amount,overall_rating,food_rating,delivery_rating,box_condition_rating,has_feedback
ORD-20250601-026,CUST-00107,ADDR-00344,2025-06-01,2025-06-01 19:54:54,19,DELIVERED,11.99,1,1.0,1,1,False,SUCCESS,CREDIT_CARD,11.99,4,4,5,3,True
ORD-20250601-027,CUST-01400,ADDR-00073,2025-06-01,2025-06-01 15:55:32,15,DELIVERED,28.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,28.48,4,5,4,5,True
ORD-20250601-028,CUST-00750,ADDR-00207,2025-06-01,2025-06-01 10:34:15,10,DELIVERED,13.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,13.99,4,5,4,5,True
ORD-20250601-031,CUST-01608,ADDR-00385,2025-06-01,2025-06-01 12:38:12,12,DELIVERED,10.49,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,10.49,4,3,5,3,True
ORD-20250601-033,CUST-00603,ADDR-00448,2025-06-01,2025-06-01 07:34:18,7,DELIVERED,25.98,2,2.0,1,1,False,SUCCESS,WALLET,25.98,5,5,4,5,True
ORD-20250601-034,CUST-00549,ADDR-00191,2025-06-01,2025-06-01 19:05:57,19,DELIVERED,43.47,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,43.47,3,2,3,3,True
ORD-20250601-036,CUST-01197,ADDR-00288,2025-06-01,2025-06-01 14:34:34,14,DELIVERED,30.46,4,4.0,1,1,False,SUCCESS,SUBSCRIPTION,30.46,3,3,2,2,True
ORD-20250601-037,CUST-01381,ADDR-00133,2025-06-01,2025-06-01 19:18:29,19,DELIVERED,53.46,4,4.0,1,1,False,SUCCESS,SUBSCRIPTION,53.46,4,5,3,5,True
ORD-20250601-039,CUST-01601,ADDR-00144,2025-06-01,2025-06-01 14:00:25,14,DELIVERED,16.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,16.97,5,4,5,5,True
ORD-20250601-041,CUST-00825,ADDR-00224,2025-06-01,2025-06-01 11:00:48,11,DELIVERED,10.49,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,10.49,5,4,5,4,True
ORD-20250601-042,CUST-00991,ADDR-00006,2025-06-01,2025-06-01 10:43:06,10,DELIVERED,11.49,1,1.0,1,1,False,SUCCESS,CREDIT_CARD,11.49,4,3,5,4,True
ORD-20250601-043,CUST-01784,ADDR-00418,2025-06-01,2025-06-01 20:33:46,20,DELIVERED,41.47,3,3.0,1,1,False,SUCCESS,WALLET,41.47,5,4,5,5,True
ORD-20250601-046,CUST-01699,ADDR-00088,2025-06-01,2025-06-01 18:00:09,18,DELIVERED,35.48,2,2.0,1,1,False,SUCCESS,DEBIT_CARD,35.48,5,4,5,4,True
ORD-20250601-050,CUST-01845,ADDR-00305,2025-06-01,2025-06-01 18:43:26,18,DELIVERED,20.47,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,20.47,5,5,5,4,True
ORD-20250601-053,CUST-01544,ADDR-00030,2025-06-01,2025-06-01 11:49:29,11,DELIVERED,31.47,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,31.47,3,3,2,4,True
ORD-20250601-056,CUST-00643,ADDR-00419,2025-06-01,2025-06-01 06:45:34,6,DELIVERED,48.96,4,4.0,1,1,False,SUCCESS,SUBSCRIPTION,48.96,3,4,2,4,True
ORD-20250601-057,CUST-01637,ADDR-00330,2025-06-01,2025-06-01 16:06:07,16,DELIVERED,23.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,23.48,5,4,5,4,True
ORD-20250601-058,CUST-00516,ADDR-00270,2025-06-01,2025-06-01 06:11:42,6,DELIVERED,19.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,19.97,5,5,4,5,True
ORD-20250601-059,CUST-00529,ADDR-00076,2025-06-01,2025-06-01 11:46:44,11,DELIVERED,16.99,1,1.0,1,1,False,SUCCESS,CREDIT_CARD,16.99,5,4,5,5,True
ORD-20250601-061,CUST-00623,ADDR-00149,2025-06-01,2025-06-01 12:01:07,12,DELIVERED,15.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,15.98,4,3,5,4,True
ORD-20250601-063,CUST-01054,ADDR-00166,2025-06-01,2025-06-01 13:36:01,13,DELIVERED,10.49,1,1.0,1,1,False,SUCCESS,CREDIT_CARD,10.49,5,4,4,5,True
ORD-20250601-064,CUST-01797,ADDR-00211,2025-06-01,2025-06-01 16:20:31,16,DELIVERED,16.49,1,1.0,1,1,False,SUCCESS,CREDIT_CARD,16.49,5,5,5,5,True
ORD-20250601-065,CUST-00413,ADDR-00260,2025-06-01,2025-06-01 18:00:59,18,DELIVERED,13.99,1,1.0,1,1,False,SUCCESS,WALLET,13.99,4,3,5,4,True
ORD-20250601-066,CUST-00784,ADDR-00400,2025-06-01,2025-06-01 15:07:33,15,DELIVERED,28.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,28.98,4,3,5,5,True
ORD-20250601-067,CUST-00185,ADDR-00344,2025-06-01,2025-06-01 18:12:31,18,DELIVERED,12.99,1,1.0,1,1,False,SUCCESS,WALLET,12.99,4,3,3,4,True
ORD-20250601-068,CUST-01536,ADDR-00492,2025-06-01,2025-06-01 12:55:36,12,DELIVERED,24.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,24.48,4,5,3,4,True
ORD-20250601-070,CUST-00538,ADDR-00119,2025-06-01,2025-06-01 08:06:17,8,DELIVERED,12.99,1,1.0,1,1,False,SUCCESS,CREDIT_CARD,12.99,5,5,5,5,True
ORD-20250601-071,CUST-00237,ADDR-00380,2025-06-01,2025-06-01 20:15:10,20,DELIVERED,25.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,25.48,5,5,4,5,True
ORD-20250601-072,CUST-01439,ADDR-00344,2025-06-01,2025-06-01 18:36:43,18,DELIVERED,13.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,13.99,4,5,4,5,True
ORD-20250601-073,CUST-00897,ADDR-00112,2025-06-01,2025-06-01 17:54:55,17,DELIVERED,22.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,22.48,4,5,5,5,True
ORD-20250601-075,CUST-00846,ADDR-00442,2025-06-01,2025-06-01 20:31:59,20,DELIVERED,21.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,21.97,3,3,4,2,True
ORD-20250601-076,CUST-00755,ADDR-00405,2025-06-01,2025-06-01 12:22:56,12,DELIVERED,18.99,1,1.0,1,1,False,SUCCESS,CREDIT_CARD,18.99,5,4,5,5,True
ORD-20250601-080,CUST-01399,ADDR-00105,2025-06-01,2025-06-01 16:44:13,16,DELIVERED,24.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,24.97,4,4,5,5,True
ORD-20250601-082,CUST-01634,ADDR-00039,2025-06-01,2025-06-01 18:42:15,18,DELIVERED,13.49,1,1.0,1,1,False,SUCCESS,DEBIT_CARD,13.49,4,3,4,4,True
ORD-20250601-086,CUST-01808,ADDR-00390,2025-06-01,2025-06-01 19:04:28,19,DELIVERED,25.47,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,25.47,5,5,5,5,True
ORD-20250602-001,CUST-01594,ADDR-00163,2025-06-02,2025-06-02 12:57:35,12,DELIVERED,20.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,20.98,5,5,5,5,True
ORD-20250602-007,CUST-00505,ADDR-00172,2025-06-02,2025-06-02 12:35:18,12,DELIVERED,30.96,4,4.0,1,1,False,SUCCESS,DEBIT_CARD,30.96,4,3,5,3,True
ORD-20250602-009,CUST-00947,ADDR-00081,2025-06-02,2025-06-02 16:34:03,16,DELIVERED,16.99,1,1.0,1,1,False,SUCCESS,CREDIT_CARD,16.99,4,5,4,4,True
ORD-20250602-010,CUST-01369,ADDR-00441,2025-06-02,2025-06-02 17:49:33,17,DELIVERED,51.96,4,4.0,1,1,False,SUCCESS,CREDIT_CARD,51.96,4,5,4,3,True
ORD-20250602-012,CUST-01195,ADDR-00173,2025-06-02,2025-06-02 18:35:20,18,DELIVERED,12.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,12.99,5,4,5,4,True
ORD-20250602-013,CUST-01432,ADDR-00345,2025-06-02,2025-06-02 17:16:16,17,DELIVERED,11.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,11.99,4,3,4,5,True
ORD-20250602-016,CUST-00125,ADDR-00434,2025-06-02,2025-06-02 16:58:15,16,DELIVERED,26.48,2,2.0,1,1,False,SUCCESS,CREDIT_CARD,26.48,4,5,3,4,True
ORD-20250602-018,CUST-00436,ADDR-00212,2025-06-02,2025-06-02 16:59:30,16,DELIVERED,9.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,9.99,5,5,5,5,True
ORD-20250602-021,CUST-00794,ADDR-00254,2025-06-02,2025-06-02 17:47:56,17,DELIVERED,10.49,1,1.0,1,1,False,SUCCESS,CREDIT_CARD,10.49,4,4,5,3,True
ORD-20250602-022,CUST-00348,ADDR-00019,2025-06-02,2025-06-02 18:57:34,18,DELIVERED,14.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,14.48,5,4,5,5,True
ORD-20250602-024,CUST-01081,ADDR-00309,2025-06-02,2025-06-02 08:40:40,8,DELIVERED,40.96,4,4.0,1,1,False,SUCCESS,SUBSCRIPTION,40.96,5,4,5,5,True
ORD-20250602-027,CUST-00577,ADDR-00294,2025-06-02,2025-06-02 17:16:43,17,DELIVERED,20.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,20.97,4,4,3,5,True
ORD-20250602-034,CUST-00148,ADDR-00056,2025-06-02,2025-06-02 10:20:44,10,DELIVERED,14.49,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,14.49,5,5,5,5,True
ORD-20250602-035,CUST-00264,ADDR-00348,2025-06-02,2025-06-02 17:10:12,17,DELIVERED,27.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,27.98,3,3,2,3,True
ORD-20250602-036,CUST-01297,ADDR-00076,2025-06-02,2025-06-02 13:13:51,13,DELIVERED,30.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,30.48,5,5,5,5,True
ORD-20250602-037,CUST-01044,ADDR-00109,2025-06-02,2025-06-02 18:34:29,18,DELIVERED,16.47,3,3.0,1,1,False,SUCCESS,DEBIT_CARD,16.47,3,3,4,4,True
ORD-20250602-039,CUST-01527,ADDR-00304,2025-06-02,2025-06-02 10:59:51,10,DELIVERED,12.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,12.99,3,2,2,4,True
ORD-20250602-040,CUST-01925,ADDR-00091,2025-06-02,2025-06-02 09:38:53,9,DELIVERED,29.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,29.48,4,4,5,4,True
ORD-20250602-041,CUST-00899,ADDR-00141,2025-06-02,2025-06-02 17:12:24,17,DELIVERED,34.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,34.97,4,3,5,4,True
ORD-20250602-042,CUST-01592,ADDR-00098,2025-06-02,2025-06-02 08:36:52,8,DELIVERED,19.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,19.48,4,3,5,5,True
ORD-20250602-046,CUST-00533,ADDR-00350,2025-06-02,2025-06-02 20:55:12,20,DELIVERED,17.97,3,3.0,1,1,False,SUCCESS,DEBIT_CARD,17.97,4,4,4,3,True
ORD-20250602-051,CUST-00484,ADDR-00361,2025-06-02,2025-06-02 16:51:22,16,DELIVERED,25.47,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,25.47,3,2,2,4,True
ORD-20250602-053,CUST-01812,ADDR-00300,2025-06-02,2025-06-02 07:56:38,7,DELIVERED,34.47,3,3.0,1,1,False,SUCCESS,CREDIT_CARD,34.47,4,4,4,3,True
ORD-20250602-055,CUST-00392,ADDR-00314,2025-06-02,2025-06-02 15:42:25,15,DELIVERED,18.48,2,2.0,1,1,False,SUCCESS,WALLET,18.48,3,4,3,2,True
ORD-20250602-056,CUST-01316,ADDR-00383,2025-06-02,2025-06-02 14:39:46,14,DELIVERED,53.46,4,4.0,1,1,False,SUCCESS,SUBSCRIPTION,53.46,5,5,4,5,True
ORD-20250602-058,CUST-01715,ADDR-00310,2025-06-02,2025-06-02 11:02:09,11,DELIVERED,48.46,4,4.0,1,1,False,SUCCESS,SUBSCRIPTION,48.46,4,5,4,5,True
ORD-20250602-059,CUST-00292,ADDR-00193,2025-06-02,2025-06-02 16:03:23,16,DELIVERED,32.47,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,32.47,4,4,4,3,True
ORD-20250602-061,CUST-00035,ADDR-00070,2025-06-02,2025-06-02 13:47:31,13,DELIVERED,17.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,17.99,5,4,5,5,True
ORD-20250602-064,CUST-01897,ADDR-00310,2025-06-02,2025-06-02 18:18:52,18,DELIVERED,28.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,28.98,3,4,3,3,True
ORD-20250602-065,CUST-01577,ADDR-00126,2025-06-02,2025-06-02 19:20:39,19,DELIVERED,30.46,4,4.0,1,1,False,SUCCESS,SUBSCRIPTION,30.46,4,3,4,4,True
ORD-20250602-066,CUST-01177,ADDR-00200,2025-06-02,2025-06-02 10:38:28,10,DELIVERED,20.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,20.97,4,5,3,5,True
ORD-20250602-068,CUST-01612,ADDR-00192,2025-06-02,2025-06-02 13:52:37,13,DELIVERED,9.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,9.99,5,5,5,4,True
ORD-20250602-074,CUST-00328,ADDR-00416,2025-06-02,2025-06-02 13:34:56,13,DELIVERED,20.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,20.48,4,3,5,4,True
ORD-20250602-078,CUST-00750,ADDR-00207,2025-06-02,2025-06-02 15:28:19,15,DELIVERED,17.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,17.99,3,4,2,2,True
ORD-20250602-082,CUST-01923,ADDR-00214,2025-06-02,2025-06-02 12:12:43,12,DELIVERED,34.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,34.98,4,5,4,3,True
ORD-20250602-084,CUST-01836,ADDR-00128,2025-06-02,2025-06-02 14:44:47,14,DELIVERED,29.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,29.98,4,5,4,5,True
ORD-20250602-087,CUST-01284,ADDR-00121,2025-06-02,2025-06-02 22:26:12,22,DELIVERED,23.47,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,23.47,3,3,2,3,True
ORD-20250602-089,CUST-01838,ADDR-00312,2025-06-02,2025-06-02 11:59:33,11,DELIVERED,12.49,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,12.49,4,4,5,4,True
ORD-20250602-091,CUST-00335,ADDR-00206,2025-06-02,2025-06-02 12:39:42,12,DELIVERED,19.47,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,19.47,5,5,5,5,True
ORD-20250602-092,CUST-00553,ADDR-00317,2025-06-02,2025-06-02 22:42:37,22,DELIVERED,18.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,18.99,4,4,5,3,True
ORD-20250602-098,CUST-00600,ADDR-00198,2025-06-02,2025-06-02 18:04:14,18,DELIVERED,30.48,2,2.0,1,1,False,SUCCESS,WALLET,30.48,4,4,5,3,True
ORD-20250602-103,CUST-01297,ADDR-00076,2025-06-02,2025-06-02 16:01:40,16,DELIVERED,38.96,4,4.0,1,1,False,SUCCESS,SUBSCRIPTION,38.96,4,4,3,4,True
ORD-20250602-106,CUST-01385,ADDR-00122,2025-06-02,2025-06-02 06:38:58,6,DELIVERED,25.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,25.97,3,4,2,3,True
ORD-20250602-107,CUST-00099,ADDR-00026,2025-06-02,2025-06-02 18:14:15,18,DELIVERED,32.98,2,2.0,1,1,False,SUCCESS,WALLET,32.98,4,3,5,5,True
ORD-20250602-109,CUST-01325,ADDR-00073,2025-06-02,2025-06-02 13:44:41,13,DELIVERED,11.49,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,11.49,4,5,4,5,True
ORD-20250602-110,CUST-01187,ADDR-00407,2025-06-02,2025-06-02 19:01:45,19,DELIVERED,26.97,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,26.97,4,5,4,3,True
ORD-20250602-112,CUST-01707,ADDR-00222,2025-06-02,2025-06-02 11:11:45,11,DELIVERED,27.47,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,27.47,5,5,4,5,True
ORD-20250602-114,CUST-01417,ADDR-00063,2025-06-02,2025-06-02 17:01:39,17,DELIVERED,33.47,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,33.47,4,3,4,3,True
ORD-20250602-116,CUST-01457,ADDR-00311,2025-06-02,2025-06-02 13:48:34,13,DELIVERED,41.96,4,4.0,1,1,False,SUCCESS,SUBSCRIPTION,41.96,5,5,5,5,True
ORD-20250602-117,CUST-01240,ADDR-00044,2025-06-02,2025-06-02 17:19:57,17,DELIVERED,23.98,2,2.0,1,1,False,SUCCESS,WALLET,23.98,4,5,4,5,True
ORD-20250602-118,CUST-01264,ADDR-00173,2025-06-02,2025-06-02 10:14:45,10,DELIVERED,27.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,27.98,5,4,5,5,True
ORD-20250602-120,CUST-01213,ADDR-00086,2025-06-02,2025-06-02 16:14:04,16,DELIVERED,27.47,3,3.0,1,1,False,SUCCESS,WALLET,27.47,3,4,3,3,True
ORD-20250602-121,CUST-00273,ADDR-00201,2025-06-02,2025-06-02 09:54:31,9,DELIVERED,13.99,1,1.0,1,1,False,SUCCESS,CREDIT_CARD,13.99,4,5,4,4,True
ORD-20250602-122,CUST-01472,ADDR-00355,2025-06-02,2025-06-02 08:00:09,8,DELIVERED,33.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,33.97,4,3,5,3,True
ORD-20250602-128,CUST-01105,ADDR-00049,2025-06-02,2025-06-02 18:36:49,18,DELIVERED,30.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,30.48,3,4,4,4,True
ORD-20250602-129,CUST-01963,ADDR-00418,2025-06-02,2025-06-02 11:57:22,11,DELIVERED,18.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,18.97,5,4,5,4,True
ORD-20250602-130,CUST-01042,ADDR-00422,2025-06-02,2025-06-02 20:44:54,20,DELIVERED,26.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,26.97,4,5,4,4,True
ORD-20250602-131,CUST-01116,ADDR-00231,2025-06-02,2025-06-02 09:19:43,9,DELIVERED,52.95,5,5.0,1,1,False,SUCCESS,DEBIT_CARD,52.95,4,5,4,3,True
ORD-20250603-001,CUST-01546,ADDR-00440,2025-06-03,2025-06-03 16:44:24,16,DELIVERED,30.46,4,4.0,1,1,False,SUCCESS,SUBSCRIPTION,30.46,5,4,5,5,True
ORD-20250603-006,CUST-00152,ADDR-00112,2025-06-03,2025-06-03 18:05:20,18,DELIVERED,13.98,2,2.0,1,1,False,SUCCESS,DEBIT_CARD,13.98,5,5,5,5,True
ORD-20250603-010,CUST-02000,ADDR-00341,2025-06-03,2025-06-03 09:40:19,9,DELIVERED,12.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,12.99,5,5,5,5,True
ORD-20250603-013,CUST-01181,ADDR-00498,2025-06-03,2025-06-03 16:35:09,16,DELIVERED,12.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,12.99,4,3,5,5,True
ORD-20250603-015,CUST-01889,ADDR-00326,2025-06-03,2025-06-03 17:29:18,17,DELIVERED,13.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,13.99,5,5,5,5,True
ORD-20250603-018,CUST-01734,ADDR-00150,2025-06-03,2025-06-03 21:08:32,21,DELIVERED,14.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,14.98,4,3,5,3,True
ORD-20250603-019,CUST-01438,ADDR-00457,2025-06-03,2025-06-03 20:10:25,20,DELIVERED,14.98,2,2.0,1,1,False,SUCCESS,WALLET,14.98,4,3,4,4,True
ORD-20250603-021,CUST-00888,ADDR-00425,2025-06-03,2025-06-03 09:32:01,9,DELIVERED,17.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,17.98,4,4,4,5,True
ORD-20250603-029,CUST-00401,ADDR-00268,2025-06-03,2025-06-03 19:23:35,19,DELIVERED,26.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,26.48,4,5,3,5,True
ORD-20250603-032,CUST-00077,ADDR-00305,2025-06-03,2025-06-03 13:34:49,13,DELIVERED,17.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,17.48,5,4,4,4,True
ORD-20250603-036,CUST-01498,ADDR-00491,2025-06-03,2025-06-03 16:44:23,16,DELIVERED,14.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,14.48,4,4,5,3,True
ORD-20250603-037,CUST-00061,ADDR-00090,2025-06-03,2025-06-03 18:34:23,18,DELIVERED,10.49,1,1.0,1,1,False,SUCCESS,WALLET,10.49,5,5,4,5,True
ORD-20250603-038,CUST-01301,ADDR-00348,2025-06-03,2025-06-03 18:55:30,18,DELIVERED,26.98,2,2.0,1,1,False,SUCCESS,WALLET,26.98,5,5,4,4,True
ORD-20250603-040,CUST-01858,ADDR-00086,2025-06-03,2025-06-03 20:40:10,20,DELIVERED,22.48,2,2.0,1,1,False,SUCCESS,WALLET,22.48,4,4,4,4,True
ORD-20250603-041,CUST-00750,ADDR-00207,2025-06-03,2025-06-03 18:35:59,18,DELIVERED,42.96,4,4.0,1,1,False,SUCCESS,SUBSCRIPTION,42.96,4,4,4,4,True
ORD-20250603-044,CUST-00622,ADDR-00096,2025-06-03,2025-06-03 20:59:31,20,DELIVERED,39.47,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,39.47,4,4,4,4,True
ORD-20250603-045,CUST-00438,ADDR-00038,2025-06-03,2025-06-03 19:17:06,19,DELIVERED,11.49,1,1.0,1,1,False,SUCCESS,DEBIT_CARD,11.49,4,3,3,3,True
ORD-20250603-046,CUST-01367,ADDR-00224,2025-06-03,2025-06-03 11:51:52,11,DELIVERED,21.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,21.98,4,4,5,3,True
ORD-20250603-047,CUST-00689,ADDR-00041,2025-06-03,2025-06-03 20:54:24,20,DELIVERED,18.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,18.99,4,4,3,5,True
ORD-20250603-048,CUST-01969,ADDR-00186,2025-06-03,2025-06-03 18:23:09,18,DELIVERED,18.48,2,2.0,1,1,False,SUCCESS,CREDIT_CARD,18.48,4,4,3,5,True
ORD-20250603-052,CUST-01940,ADDR-00249,2025-06-03,2025-06-03 18:20:54,18,DELIVERED,24.47,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,24.47,3,4,3,4,True
ORD-20250603-054,CUST-01606,ADDR-00340,2025-06-03,2025-06-03 12:59:26,12,DELIVERED,24.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,24.48,4,4,3,4,True
ORD-20250603-055,CUST-01865,ADDR-00472,2025-06-03,2025-06-03 16:48:47,16,DELIVERED,13.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,13.48,4,3,4,3,True
ORD-20250603-058,CUST-01081,ADDR-00309,2025-06-03,2025-06-03 11:52:24,11,DELIVERED,32.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,32.97,5,4,5,4,True
ORD-20250603-063,CUST-00075,ADDR-00479,2025-06-03,2025-06-03 19:37:13,19,DELIVERED,43.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,43.97,3,4,2,2,True
ORD-20250603-064,CUST-01227,ADDR-00137,2025-06-03,2025-06-03 11:02:08,11,DELIVERED,32.97,3,3.0,1,1,False,SUCCESS,WALLET,32.97,4,3,5,3,True
ORD-20250603-066,CUST-01727,ADDR-00317,2025-06-03,2025-06-03 16:25:26,16,DELIVERED,33.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,33.48,4,3,4,3,True
