driver_id,delivery_date,delivery_zone,deliveries_count,successful,failed,avg_duration_min,sla_pct,on_time_count,pickups_attempted,pickups_completed,total_stops,pickup_success_pct,year_month
DRV-00006,2025-06-02,ZONE-A,2,2.0,0.0,24.5,100.0,0.0,2,2.0,4.0,100.0,2025-06
DRV-00006,2025-06-02,ZONE-B,1,1.0,0.0,34.0,100.0,0.0,4,4.0,5.0,100.0,2025-06
DRV-00006,2025-06-02,ZONE-C,2,2.0,0.0,48.0,50.0,0.0,1,1.0,3.0,100.0,2025-06
DRV-00007,2025-06-02,ZONE-C,2,2.0,0.0,27.0,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00007,2025-06-02,ZONE-D,1,1.0,0.0,53.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00007,2025-06-02,ZONE-A,4,4.0,0.0,25.25,75.0,0.0,1,1.0,5.0,100.0,2025-06
DRV-00007,2025-06-02,ZONE-B,3,3.0,0.0,33.333333333333336,66.7,1.0,3,3.0,6.0,100.0,2025-06
DRV-00008,2025-06-02,ZONE-B,5,5.0,0.0,32.0,100.0,0.0,0,0.0,5.0,,2025-06
DRV-00008,2025-06-02,ZONE-C,5,5.0,0.0,43.4,80.0,0.0,1,1.0,6.0,100.0,2025-06
DRV-00008,2025-06-02,ZONE-A,1,1.0,0.0,25.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00008,2025-06-02,ZONE-D,3,3.0,0.0,49.333333333333336,100.0,0.0,0,0.0,3.0,,2025-06
DRV-00009,2025-06-02,ZONE-D,1,1.0,0.0,30.0,100.0,0.0,2,2.0,3.0,100.0,2025-06
DRV-00009,2025-06-02,ZONE-A,1,1.0,0.0,33.0,0.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00009,2025-06-02,ZONE-B,3,3.0,0.0,36.333333333333336,100.0,0.0,1,1.0,4.0,100.0,2025-06
DRV-00009,2025-06-02,ZONE-C,1,1.0,0.0,46.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00010,2025-06-02,ZONE-C,1,1.0,0.0,30.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00010,2025-06-02,ZONE-B,1,1.0,0.0,32.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00010,2025-06-02,ZONE-D,1,1.0,0.0,58.0,100.0,0.0,2,2.0,3.0,100.0,2025-06
DRV-00010,2025-06-02,ZONE-A,2,2.0,0.0,22.5,100.0,0.0,3,3.0,5.0,100.0,2025-06
DRV-00011,2025-06-02,ZONE-A,4,4.0,0.0,25.25,75.0,0.0,1,1.0,5.0,100.0,2025-06
DRV-00011,2025-06-02,ZONE-C,3,3.0,0.0,48.666666666666664,66.7,0.0,0,0.0,3.0,,2025-06
DRV-00012,2025-06-02,ZONE-B,2,2.0,0.0,38.0,100.0,0.0,3,3.0,5.0,100.0,2025-06
DRV-00012,2025-06-02,ZONE-A,3,3.0,0.0,25.0,100.0,0.0,0,0.0,3.0,,2025-06
DRV-00013,2025-06-02,ZONE-A,2,2.0,0.0,28.0,100.0,0.0,1,1.0,3.0,100.0,2025-06
DRV-00013,2025-06-02,ZONE-B,4,4.0,0.0,32.25,100.0,0.0,1,1.0,5.0,100.0,2025-06
DRV-00013,2025-06-02,ZONE-C,2,2.0,0.0,35.5,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00014,2025-06-02,ZONE-A,2,2.0,0.0,20.0,100.0,0.0,1,1.0,3.0,100.0,2025-06
DRV-00014,2025-06-02,ZONE-C,3,2.0,1.0,41.0,66.7,0.0,1,1.0,4.0,100.0,2025-06
DRV-00014,2025-06-02,ZONE-D,2,2.0,0.0,58.5,100.0,0.0,1,1.0,3.0,100.0,2025-06
DRV-00014,2025-06-02,ZONE-B,5,5.0,0.0,34.8,100.0,0.0,1,1.0,6.0,100.0,2025-06
DRV-00015,2025-06-02,ZONE-A,1,1.0,0.0,25.0,100.0,0.0,3,3.0,4.0,100.0,2025-06
DRV-00015,2025-06-02,ZONE-D,2,2.0,0.0,50.0,100.0,0.0,2,2.0,4.0,100.0,2025-06
DRV-00015,2025-06-02,ZONE-C,4,4.0,0.0,51.25,75.0,0.0,2,2.0,6.0,100.0,2025-06
DRV-00015,2025-06-02,ZONE-B,3,3.0,0.0,30.333333333333332,100.0,0.0,0,0.0,3.0,,2025-06
DRV-00001,2025-06-03,ZONE-C,3,3.0,0.0,42.666666666666664,100.0,0.0,0,0.0,3.0,,2025-06
DRV-00001,2025-06-03,ZONE-B,2,2.0,0.0,34.5,50.0,0.0,4,4.0,6.0,100.0,2025-06
DRV-00001,2025-06-03,ZONE-D,1,1.0,0.0,42.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00001,2025-06-03,ZONE-A,3,3.0,0.0,26.0,100.0,0.0,3,3.0,6.0,100.0,2025-06
DRV-00002,2025-06-03,ZONE-B,5,5.0,0.0,33.6,100.0,0.0,0,0.0,5.0,,2025-06
DRV-00002,2025-06-03,ZONE-C,3,3.0,0.0,42.333333333333336,100.0,0.0,1,1.0,4.0,100.0,2025-06
DRV-00002,2025-06-03,ZONE-A,2,2.0,0.0,24.0,100.0,0.0,3,3.0,5.0,100.0,2025-06
DRV-00003,2025-06-03,ZONE-B,4,4.0,0.0,35.75,100.0,0.0,1,1.0,5.0,100.0,2025-06
DRV-00003,2025-06-03,ZONE-A,3,3.0,0.0,27.333333333333332,100.0,0.0,2,2.0,5.0,100.0,2025-06
DRV-00003,2025-06-03,ZONE-D,1,1.0,0.0,60.0,100.0,0.0,2,2.0,3.0,100.0,2025-06
DRV-00003,2025-06-03,ZONE-C,3,3.0,0.0,40.0,100.0,0.0,4,4.0,7.0,100.0,2025-06
DRV-00004,2025-06-03,ZONE-A,1,1.0,0.0,23.0,100.0,0.0,3,3.0,4.0,100.0,2025-06
DRV-00004,2025-06-03,ZONE-C,3,3.0,0.0,38.666666666666664,66.7,0.0,3,3.0,6.0,100.0,2025-06
DRV-00005,2025-06-03,ZONE-D,1,1.0,0.0,62.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00005,2025-06-03,ZONE-A,1,1.0,0.0,31.0,0.0,0.0,2,2.0,3.0,100.0,2025-06
DRV-00005,2025-06-03,ZONE-C,4,3.0,1.0,39.666666666666664,50.0,0.0,1,1.0,5.0,100.0,2025-06
DRV-00005,2025-06-03,ZONE-B,1,1.0,0.0,34.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00006,2025-06-03,ZONE-B,6,6.0,0.0,38.166666666666664,66.7,0.0,5,5.0,11.0,100.0,2025-06
DRV-00006,2025-06-03,ZONE-A,1,1.0,0.0,23.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00007,2025-06-03,ZONE-B,4,4.0,0.0,35.0,100.0,0.0,3,3.0,7.0,100.0,2025-06
DRV-00007,2025-06-03,ZONE-A,2,2.0,0.0,25.0,100.0,0.0,1,1.0,3.0,100.0,2025-06
DRV-00008,2025-06-03,ZONE-A,4,3.0,1.0,30.333333333333332,50.0,0.0,2,2.0,6.0,100.0,2025-06
DRV-00008,2025-06-03,ZONE-D,1,1.0,0.0,38.0,100.0,0.0,3,3.0,4.0,100.0,2025-06
DRV-00008,2025-06-03,ZONE-B,1,1.0,0.0,37.0,100.0,0.0,3,3.0,4.0,100.0,2025-06
DRV-00008,2025-06-03,ZONE-C,1,1.0,0.0,51.0,100.0,0.0,3,3.0,4.0,100.0,2025-06
DRV-00009,2025-06-03,ZONE-C,2,2.0,0.0,40.5,100.0,0.0,2,2.0,4.0,100.0,2025-06
DRV-00009,2025-06-03,ZONE-B,1,1.0,0.0,30.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00010,2025-06-03,ZONE-C,3,3.0,0.0,49.333333333333336,100.0,0.0,3,3.0,6.0,100.0,2025-06
DRV-00010,2025-06-03,ZONE-B,1,1.0,0.0,28.0,100.0,0.0,4,4.0,5.0,100.0,2025-06
DRV-00010,2025-06-03,ZONE-A,2,2.0,0.0,29.0,50.0,0.0,2,2.0,4.0,100.0,2025-06
DRV-00010,2025-06-03,ZONE-D,4,3.0,1.0,69.66666666666667,50.0,0.0,3,3.0,7.0,100.0,2025-06
DRV-00011,2025-06-03,ZONE-C,1,1.0,0.0,39.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00011,2025-06-03,ZONE-D,1,1.0,0.0,67.0,100.0,0.0,2,2.0,3.0,100.0,2025-06
DRV-00011,2025-06-03,ZONE-A,2,2.0,0.0,26.5,50.0,0.0,0,0.0,2.0,,2025-06
DRV-00011,2025-06-03,ZONE-B,1,1.0,0.0,41.0,100.0,0.0,2,2.0,3.0,100.0,2025-06
DRV-00012,2025-06-03,ZONE-C,1,1.0,0.0,48.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00012,2025-06-03,ZONE-A,4,4.0,0.0,26.25,75.0,0.0,4,4.0,8.0,100.0,2025-06
DRV-00013,2025-06-03,ZONE-B,2,2.0,0.0,41.0,100.0,0.0,4,4.0,6.0,100.0,2025-06
DRV-00013,2025-06-03,ZONE-A,1,1.0,0.0,28.0,100.0,0.0,3,3.0,4.0,100.0,2025-06
DRV-00013,2025-06-03,ZONE-C,5,5.0,0.0,48.2,60.0,0.0,1,1.0,6.0,100.0,2025-06
DRV-00014,2025-06-03,ZONE-B,2,2.0,0.0,31.5,100.0,0.0,3,3.0,5.0,100.0,2025-06
DRV-00014,2025-06-03,ZONE-A,1,1.0,0.0,19.0,100.0,0.0,3,3.0,4.0,100.0,2025-06
DRV-00014,2025-06-03,ZONE-D,2,2.0,0.0,71.5,50.0,0.0,0,0.0,2.0,,2025-06
DRV-00014,2025-06-03,ZONE-C,4,4.0,0.0,55.25,50.0,0.0,2,2.0,6.0,100.0,2025-06
DRV-00015,2025-06-03,ZONE-C,2,2.0,0.0,44.0,100.0,0.0,2,2.0,4.0,100.0,2025-06
DRV-00015,2025-06-03,ZONE-A,2,2.0,0.0,23.5,100.0,0.0,2,2.0,4.0,100.0,2025-06
DRV-00015,2025-06-03,ZONE-D,2,2.0,0.0,55.5,50.0,0.0,3,3.0,5.0,100.0,2025-06
DRV-00015,2025-06-03,ZONE-B,2,2.0,0.0,32.0,100.0,0.0,1,1.0,3.0,100.0,2025-06
DRV-00001,2025-06-04,ZONE-C,1,1.0,0.0,32.0,100.0,0.0,3,3.0,4.0,100.0,2025-06
DRV-00001,2025-06-04,ZONE-A,1,1.0,0.0,25.0,100.0,0.0,4,4.0,5.0,100.0,2025-06
DRV-00001,2025-06-04,ZONE-D,1,1.0,0.0,54.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00001,2025-06-04,ZONE-B,3,3.0,0.0,42.666666666666664,66.7,0.0,1,1.0,4.0,100.0,2025-06
DRV-00002,2025-06-04,ZONE-B,3,3.0,0.0,38.333333333333336,66.7,0.0,3,3.0,6.0,100.0,2025-06
DRV-00002,2025-06-04,ZONE-A,2,2.0,0.0,28.0,100.0,0.0,1,0.0,2.0,0.0,2025-06
DRV-00002,2025-06-04,ZONE-C,8,8.0,0.0,48.625,75.0,0.0,0,0.0,8.0,,2025-06
DRV-00003,2025-06-04,ZONE-B,1,1.0,0.0,47.0,0.0,0.0,0,0.0,1.0,,2025-06
DRV-00003,2025-06-04,ZONE-D,1,1.0,0.0,42.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00003,2025-06-04,ZONE-C,1,1.0,0.0,23.0,100.0,0.0,5,5.0,6.0,100.0,2025-06
DRV-00003,2025-06-04,ZONE-A,3,3.0,0.0,25.333333333333332,100.0,0.0,3,3.0,6.0,100.0,2025-06
DRV-00004,2025-06-04,ZONE-C,2,2.0,0.0,61.5,50.0,0.0,4,4.0,6.0,100.0,2025-06
DRV-00004,2025-06-04,ZONE-B,6,6.0,0.0,31.666666666666668,100.0,0.0,3,3.0,9.0,100.0,2025-06
DRV-00004,2025-06-04,ZONE-A,3,3.0,0.0,26.666666666666668,66.7,0.0,3,3.0,6.0,100.0,2025-06
DRV-00005,2025-06-04,ZONE-A,1,1.0,0.0,20.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00005,2025-06-04,ZONE-D,2,2.0,0.0,69.0,50.0,0.0,1,1.0,3.0,100.0,2025-06
DRV-00005,2025-06-04,ZONE-C,3,3.0,0.0,40.0,66.7,0.0,2,2.0,5.0,100.0,2025-06
DRV-00006,2025-06-04,ZONE-B,1,1.0,0.0,52.0,0.0,0.0,0,0.0,1.0,,2025-06
DRV-00006,2025-06-04,ZONE-C,2,2.0,0.0,34.5,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00006,2025-06-04,ZONE-A,4,4.0,0.0,25.25,75.0,0.0,1,1.0,5.0,100.0,2025-06
DRV-00007,2025-06-04,ZONE-D,1,1.0,0.0,62.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00007,2025-06-04,ZONE-A,1,1.0,0.0,22.0,100.0,0.0,2,2.0,3.0,100.0,2025-06
DRV-00007,2025-06-04,ZONE-B,4,4.0,0.0,33.0,100.0,0.0,3,3.0,7.0,100.0,2025-06
DRV-00007,2025-06-04,ZONE-C,2,2.0,0.0,40.5,100.0,0.0,2,2.0,4.0,100.0,2025-06
DRV-00008,2025-06-04,ZONE-A,2,2.0,0.0,25.0,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00008,2025-06-04,ZONE-B,1,1.0,0.0,43.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00008,2025-06-04,ZONE-C,1,1.0,0.0,38.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00008,2025-06-04,ZONE-D,1,1.0,0.0,52.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00009,2025-06-04,ZONE-D,3,3.0,0.0,56.666666666666664,66.7,0.0,1,1.0,4.0,100.0,2025-06
DRV-00009,2025-06-04,ZONE-C,1,1.0,0.0,31.0,100.0,0.0,2,2.0,3.0,100.0,2025-06
DRV-00009,2025-06-04,ZONE-B,2,2.0,0.0,33.5,100.0,0.0,5,5.0,7.0,100.0,2025-06
DRV-00010,2025-06-04,ZONE-C,1,1.0,0.0,31.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00010,2025-06-04,ZONE-B,5,5.0,0.0,33.4,80.0,1.0,3,3.0,8.0,100.0,2025-06
DRV-00010,2025-06-04,ZONE-A,3,3.0,0.0,23.333333333333332,100.0,1.0,1,1.0,4.0,100.0,2025-06
DRV-00010,2025-06-04,ZONE-D,2,2.0,0.0,56.0,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00011,2025-06-04,ZONE-C,1,1.0,0.0,47.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00011,2025-06-04,ZONE-B,2,2.0,0.0,44.0,50.0,0.0,1,1.0,3.0,100.0,2025-06
DRV-00011,2025-06-04,ZONE-D,1,1.0,0.0,44.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00011,2025-06-04,ZONE-A,7,7.0,0.0,24.857142857142858,100.0,0.0,2,2.0,9.0,100.0,2025-06
DRV-00012,2025-06-04,ZONE-C,2,2.0,0.0,43.5,100.0,0.0,2,2.0,4.0,100.0,2025-06
DRV-00012,2025-06-04,ZONE-A,1,1.0,0.0,25.0,100.0,0.0,3,3.0,4.0,100.0,2025-06
DRV-00012,2025-06-04,ZONE-B,1,1.0,0.0,43.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00013,2025-06-04,ZONE-C,4,4.0,0.0,45.25,100.0,0.0,1,1.0,5.0,100.0,2025-06
DRV-00013,2025-06-04,ZONE-B,5,5.0,0.0,36.0,60.0,0.0,2,2.0,7.0,100.0,2025-06
DRV-00013,2025-06-04,ZONE-A,1,1.0,0.0,23.0,100.0,0.0,3,3.0,4.0,100.0,2025-06
DRV-00013,2025-06-04,ZONE-D,1,1.0,0.0,43.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00014,2025-06-04,ZONE-B,1,1.0,0.0,35.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00014,2025-06-04,ZONE-A,3,3.0,0.0,24.333333333333332,100.0,0.0,1,1.0,4.0,100.0,2025-06
DRV-00014,2025-06-04,ZONE-D,1,1.0,0.0,46.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00014,2025-06-04,ZONE-C,4,4.0,0.0,49.75,100.0,0.0,0,0.0,4.0,,2025-06
DRV-00015,2025-06-04,ZONE-B,1,1.0,0.0,35.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00015,2025-06-04,ZONE-A,5,5.0,0.0,23.2,80.0,0.0,1,1.0,6.0,100.0,2025-06
DRV-00015,2025-06-04,ZONE-D,2,2.0,0.0,66.5,50.0,0.0,0,0.0,2.0,,2025-06
DRV-00015,2025-06-04,ZONE-C,2,2.0,0.0,46.0,50.0,0.0,1,1.0,3.0,100.0,2025-06
DRV-00001,2025-06-05,ZONE-C,2,2.0,0.0,41.5,100.0,0.0,2,2.0,4.0,100.0,2025-06
DRV-00001,2025-06-05,ZONE-A,5,5.0,0.0,26.2,80.0,0.0,4,4.0,9.0,100.0,2025-06
DRV-00001,2025-06-05,ZONE-B,1,1.0,0.0,32.0,100.0,0.0,2,2.0,3.0,100.0,2025-06
DRV-00002,2025-06-05,ZONE-C,1,1.0,0.0,53.0,100.0,0.0,4,3.0,4.0,75.0,2025-06
DRV-00002,2025-06-05,ZONE-B,2,2.0,0.0,41.0,100.0,0.0,2,2.0,4.0,100.0,2025-06
DRV-00002,2025-06-05,ZONE-D,2,2.0,0.0,48.5,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00003,2025-06-05,ZONE-A,2,2.0,0.0,27.0,100.0,0.0,3,3.0,5.0,100.0,2025-06
DRV-00003,2025-06-05,ZONE-B,2,2.0,0.0,29.5,100.0,0.0,2,2.0,4.0,100.0,2025-06
DRV-00003,2025-06-05,ZONE-C,3,3.0,0.0,48.333333333333336,100.0,0.0,4,4.0,7.0,100.0,2025-06
DRV-00004,2025-06-05,ZONE-A,1,1.0,0.0,29.0,100.0,0.0,2,1.0,2.0,50.0,2025-06
DRV-00004,2025-06-05,ZONE-B,4,4.0,0.0,33.25,100.0,0.0,2,2.0,6.0,100.0,2025-06
DRV-00005,2025-06-05,ZONE-C,3,3.0,0.0,46.666666666666664,100.0,0.0,4,4.0,7.0,100.0,2025-06
DRV-00005,2025-06-05,ZONE-A,3,3.0,0.0,21.666666666666668,100.0,1.0,4,4.0,7.0,100.0,2025-06
DRV-00005,2025-06-05,ZONE-B,3,3.0,0.0,35.666666666666664,100.0,0.0,1,1.0,4.0,100.0,2025-06
DRV-00006,2025-06-05,ZONE-A,2,2.0,0.0,27.0,50.0,0.0,4,4.0,6.0,100.0,2025-06
DRV-00006,2025-06-05,ZONE-C,2,2.0,0.0,28.0,100.0,0.0,1,1.0,3.0,100.0,2025-06
DRV-00006,2025-06-05,ZONE-B,4,3.0,1.0,32.666666666666664,50.0,1.0,2,2.0,6.0,100.0,2025-06
DRV-00007,2025-06-05,ZONE-A,3,3.0,0.0,21.333333333333332,100.0,0.0,1,1.0,4.0,100.0,2025-06
DRV-00007,2025-06-05,ZONE-D,3,3.0,0.0,61.0,66.7,0.0,1,1.0,4.0,100.0,2025-06
